tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
www.lightingservicearea.CLIENT_X.com,Performance cookies,Signify (formerly CLIENT_X Lighting),JavaScript,_ga_failed_lookup_marker_8_7,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.de,Performance cookies,CLIENT_X - Germany,HTTP Cookie,_ga_failed_lookup_marker_8_8,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.de,Essential cookies,CLIENT_X - Germany,HTTP Cookie,_ga_failed_lookup_marker_8_21,,session,TRUE,http://www.CLIENT_X.de/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.de,Essential cookies,CLIENT_X - Germany,HTTP Cookie,_ga_failed_lookup_marker_8_33,,365,TRUE,https://www.CLIENT_X.de/c-e/ho/recall-perfectcare-8000-9000-elite-series,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
linkedin.com,Targeted Advertising cookies (including social media),LinkedIn,HTTP Cookie,_ga_failed_lookup_marker_8_52,,1,TRUE,https://www.CLIENT_X.de/c-e/ho/recall-perfectcare-8000-9000-elite-series,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
c.amazon-adsystem.com,Targeted Advertising cookies (including social media),Amazon Ads,JavaScript,_ga_failed_lookup_marker_8_63,,,TRUE,http://www.CLIENT_X.de/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
analytics-fe.digital-cloud-us-main.medallia.com,Performance cookies,Medallia,Beacon,_ga_failed_lookup_marker_8_87,,,TRUE,http://www.CLIENT_X.de/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.de,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_8_94,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
collection.decibelinsight.net,Performance cookies,Medallia,ETag,_ga_failed_lookup_marker_8_96,,,,https://www.CLIENT_X.de/a-w/about.html,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
c.amazon-adsystem.com,Targeted Advertising cookies (including social media),Amazon Ads,ETag,_ga_failed_lookup_marker_8_111,,,TRUE,http://www.CLIENT_X.de/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.de,Targeted Advertising cookies (including social media),CLIENT_X - Germany,HTTP Cookie,_ga_failed_lookup_marker_8_113,,7,TRUE,https://www.CLIENT_X.de/c-e/ho/recall-perfectcare-8000-9000-elite-series,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.healthcare.shop.CLIENT_X.de,Essential cookies,CLIENT_X - Germany,HTTP Cookie,_ga_failed_lookup_marker_8_131,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
google.com,Performance cookies,Google Inc.,Local Storage,_ga_failed_lookup_marker_8_135,,,TRUE,https://www.CLIENT_X.de/c-e/member.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
dentalshop.CLIENT_X.de,Essential cookies,CLIENT_X - Germany,Local Storage,_ga_failed_lookup_marker_8_140,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.co.uk,Targeted Advertising cookies (including social media),CLIENT_X - United Kingdom,Local Storage,_ga_failed_lookup_marker_8_152,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
img.youtube.com,Targeted Advertising cookies (including social media),Google Advertising Products,ETag,_ga_failed_lookup_marker_8_169,,,,https://www.CLIENT_X.de/healthcare/product/HC781260/smartpath-to-dstream-mrsystemupgrade,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
www.healthcare.shop.CLIENT_X.de,Essential cookies,CLIENT_X - Germany,HTTP Cookie,_ga_failed_lookup_marker_8_182,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
amazon-adsystem.com,Targeted Advertising cookies (including social media),Amazon Ads,HTTP Cookie,_ga_failed_lookup_marker_8_184,,219,TRUE,https://www.CLIENT_X.de/a-w/about,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
cdn.jsdelivr.net,Performance cookies,Volentio JSD Limited,ETag,_ga_failed_lookup_marker_8_188,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
assets.adoberesources.net,Performance cookies,Adobe Inc.,JavaScript,_ga_failed_lookup_marker_8_195,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
