tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
versuni.scene7.com,Performance cookies,Adobe Experience Cloud - Experience Manager,ETag,_ga_failed_lookup_marker_9_5,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.google.ie,Targeted Advertising cookies (including social media),Google Inc.,Beacon,_ga_failed_lookup_marker_9_14,,,TRUE,http://www.CLIENT_X.dk/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
consent-pref.trustarc.com,Essential cookies,TrustArc,JavaScript,_ga_failed_lookup_marker_9_22,,,TRUE,http://www.CLIENT_X.dk/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
casalemedia.com,Targeted Advertising cookies (including social media),Index Exchange Inc.,HTTP Cookie,_ga_failed_lookup_marker_9_26,,365,TRUE,https://www.CLIENT_X.dk/a-w/about,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.dk,Essential cookies,CLIENT_X - Denmark,HTTP Cookie,_ga_failed_lookup_marker_9_35,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.accounts.CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,ETag,_ga_failed_lookup_marker_9_37,,,TRUE,https://www.CLIENT_X.dk/myCLIENT_X#/register-new-product/form/SP9872_22,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.dk,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_9_67,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.googleadservices.com,Targeted Advertising cookies (including social media),Google Advertising Products,JavaScript,_ga_failed_lookup_marker_9_68,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.crsc.lighting.CLIENT_X.com,Performance cookies,Signify (formerly CLIENT_X Lighting),JavaScript,_ga_failed_lookup_marker_9_111,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.tco.lighting.CLIENT_X.com,Performance cookies,Koninklijke CLIENT_X N.V.,JavaScript,_ga_failed_lookup_marker_9_117,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
*.t.eloqua.com,Targeted Advertising cookies (including social media),Oracle Marketing,Beacon,_ga_failed_lookup_marker_9_119,,,,https://www.CLIENT_X.dk/healthcare/e/sleep/communications/src-update,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
custom.yieldify.com,Targeted Advertising cookies (including social media),Yieldify,JavaScript,_ga_failed_lookup_marker_9_126,,,TRUE,http://www.CLIENT_X.dk/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
googleads.g.doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_9_144,,,TRUE,http://www.CLIENT_X.dk/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_9_153,,30,TRUE,https://www.CLIENT_X.dk/a-w/about,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
lighting.CLIENT_X.dk,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_9_158,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.dk,Essential cookies,CLIENT_X - Denmark,HTTP Cookie,_ga_failed_lookup_marker_9_160,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
pages.information.signify.com,Performance cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_9_164,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
*.online-metrix.net,Performance cookies,LexisNexis Risk Solutions (formerly ThreatMetrix),Beacon,_ga_failed_lookup_marker_9_169,,,,http://www.CLIENT_X.dk/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
pages.information.signify.com,Performance cookies,Signify (formerly CLIENT_X Lighting),JavaScript,_ga_failed_lookup_marker_9_173,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.gearselectiontool.lighting.CLIENT_X.com,Performance cookies,Signify (formerly CLIENT_X Lighting),JavaScript,_ga_failed_lookup_marker_9_180,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
