tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
cdn.mouseflow.com,Performance cookies,Mouseflow,JavaScript,_ga_failed_lookup_marker_13_3,,,,https://www.CLIENT_X.gr/c-e/pe/oral-healthcare,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
tremorhub.com,Targeted Advertising cookies (including social media),"Magnite CTV, Inc.",HTTP Cookie,_ga_failed_lookup_marker_13_6,,400,TRUE,https://www.CLIENT_X.gr/a-w/about/balance-sheets,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.gr,Essential cookies,CLIENT_X - Greece,HTTP Cookie,_ga_failed_lookup_marker_13_7,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
tremorhub.com,Targeted Advertising cookies (including social media),"Magnite CTV, Inc.",HTTP Cookie,_ga_failed_lookup_marker_13_38,,400,TRUE,https://www.CLIENT_X.gr/a-w/about/balance-sheets,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.gr,Essential cookies,CLIENT_X - Greece,HTTP Cookie,_ga_failed_lookup_marker_13_76,,0,TRUE,https://www.CLIENT_X.gr/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.docs.lighting.CLIENT_X.com,Performance cookies,Signify (formerly CLIENT_X Lighting),ETag,_ga_failed_lookup_marker_13_79,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
region1.google-analytics.com,Performance cookies,Google Inc.,Beacon,_ga_failed_lookup_marker_13_80,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
widget-cdn.janraincapture.com,Performance cookies,Akamai,JavaScript,_ga_failed_lookup_marker_13_92,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.googletagmanager.com,Performance cookies,Google Inc.,Beacon,_ga_failed_lookup_marker_13_110,,,TRUE,https://www.CLIENT_X.gr/c-m-pe/face-shavers,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
tiktok.com,Targeted Advertising cookies (including social media),TikTok,HTTP Cookie,_ga_failed_lookup_marker_13_114,,90,TRUE,https://www.CLIENT_X.gr/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
youtube.com,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_13_121,,180,,https://www.CLIENT_X.gr/p-m-pr/professional-displays/featured-products/b-line,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.gr,Essential cookies,CLIENT_X - Greece,JavaScript,_ga_failed_lookup_marker_13_122,,,TRUE,http://www.CLIENT_X.gr/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.gr,Essential cookies,CLIENT_X - Greece,HTTP Cookie,_ga_failed_lookup_marker_13_143,,0,,http://www.CLIENT_X.gr/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.gr,Essential cookies,CLIENT_X - Greece,HTTP Cookie,_ga_failed_lookup_marker_13_148,,0,,http://www.CLIENT_X.gr/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
assets.adoberesources.net,Performance cookies,Adobe Inc.,JavaScript,_ga_failed_lookup_marker_13_151,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.gr,Essential cookies,CLIENT_X - Greece,HTTP Cookie,_ga_failed_lookup_marker_13_173,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.gr,Essential cookies,CLIENT_X - Greece,HTTP Cookie,_ga_failed_lookup_marker_13_174,,60,TRUE,https://www.CLIENT_X.gr/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
tag.demandbase.com,Targeted Advertising cookies (including social media),"Demandbase, Inc.",ETag,_ga_failed_lookup_marker_13_177,,,TRUE,https://www.CLIENT_X.gr/a-w/about/balance-sheets,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.conversiontool.lighting.CLIENT_X.com,Targeted Advertising cookies (including social media),Signify (formerly CLIENT_X Lighting),ETag,_ga_failed_lookup_marker_13_185,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
assets.kampyle.com,Performance cookies,Medallia,ETag,_ga_failed_lookup_marker_13_188,,,TRUE,https://www.CLIENT_X.gr/c-m-ho/ironing/descaling/how-to-descale-my-CLIENT_X-garment-steamer,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
