tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
www.CLIENT_X.it,Essential cookies,CLIENT_X - Italy,HTTP Cookie,_ga_failed_lookup_marker_17_14,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.it,Essential cookies,Signify (formerly CLIENT_X Lighting),ETag,_ga_failed_lookup_marker_17_18,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
images.CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,ETag,_ga_failed_lookup_marker_17_21,,,TRUE,https://www.CLIENT_X.it/c-p/QP4530_30/oneblade-face,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
imgs.signifyd.com,Essential cookies,Signifyd,Local Storage,_ga_failed_lookup_marker_17_49,,,TRUE,https://www.CLIENT_X.it/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
munchkin.marketo.net,Targeted Advertising cookies (including social media),Marketo,JavaScript,_ga_failed_lookup_marker_17_52,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.it,Essential cookies,CLIENT_X - Italy,HTTP Cookie,_ga_failed_lookup_marker_17_57,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
company-target.com,Targeted Advertising cookies (including social media),"Demandbase, Inc.",HTTP Cookie,_ga_failed_lookup_marker_17_63,,396,TRUE,https://www.CLIENT_X.it/a-w/about,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.youtube.com,Targeted Advertising cookies (including social media),Google Advertising Products,JavaScript,_ga_failed_lookup_marker_17_74,,,TRUE,https://www.CLIENT_X.it/c-e/au/luci-auto/articoli-per-il-settore-automobilistico.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
consent.truste.com,Essential cookies,TrustArc,JavaScript,_ga_failed_lookup_marker_17_76,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
assets-v2.yieldify.com,Targeted Advertising cookies (including social media),Yieldify,ETag,_ga_failed_lookup_marker_17_110,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
assets-v2.yieldify.com,Targeted Advertising cookies (including social media),Yieldify,ETag,_ga_failed_lookup_marker_17_125,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
api-cdn.mypurecloud.de,Performance cookies,Genesys,ETag,_ga_failed_lookup_marker_17_127,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
cdn.tt.omtrdc.net,Performance cookies,"Adobe Audience Manager, Adobe Experience Cloud",JavaScript,_ga_failed_lookup_marker_17_135,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
region1.google-analytics.com,Performance cookies,Google Inc.,Beacon,_ga_failed_lookup_marker_17_141,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
pages.information.signify.com,Performance cookies,Signify (formerly CLIENT_X Lighting),ETag,_ga_failed_lookup_marker_17_150,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
beacon.speedcurve.com,Performance cookies,Speedcurve,Beacon,_ga_failed_lookup_marker_17_160,,,,https://www.CLIENT_X.it/c-e/ho/recall-perfectcare-8000-9000-elite-series,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
healthcare.shop.CLIENT_X.it,Essential cookies,CLIENT_X - Italy,Local Storage,_ga_failed_lookup_marker_17_172,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
pixel.rubiconproject.com,Targeted Advertising cookies (including social media),"Magnite, Inc.",Beacon,_ga_failed_lookup_marker_17_181,,,TRUE,https://www.CLIENT_X.it/a-w/about,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
linkedin.com,Targeted Advertising cookies (including social media),LinkedIn,HTTP Cookie,_ga_failed_lookup_marker_17_186,,180,TRUE,https://www.CLIENT_X.it/c-e/ho/recall-perfectcare-8000-9000-elite-series,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.it,Essential cookies,CLIENT_X - Italy,HTTP Cookie,_ga_failed_lookup_marker_17_197,,session,TRUE,https://www.CLIENT_X.it/a-w/about,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
