tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
images.CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,JavaScript,_ga_failed_lookup_marker_28_8,,,TRUE,https://www.CLIENT_X.sk/healthcare/product/881120,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.pl,Performance cookies,CLIENT_X - Poland,ETag,_ga_failed_lookup_marker_28_9,,,TRUE,https://www.CLIENT_X.sk/c-e/ho/kava/lattego-serie-4300.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
analytics.tiktok.com,Targeted Advertising cookies (including social media),TikTok,Beacon,_ga_failed_lookup_marker_28_19,,,TRUE,http://www.CLIENT_X.sk/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
px.ads.linkedin.com,Targeted Advertising cookies (including social media),LinkedIn,JavaScript,_ga_failed_lookup_marker_28_27,,,TRUE,https://www.CLIENT_X.sk/c-p/CA6700_10/-,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_Xb2c.my.site.com,Performance cookies,"Salesforce.com, Inc.",Local Storage,_ga_failed_lookup_marker_28_42,,,TRUE,https://www.CLIENT_X.sk/c-w/support-home/support-contact-page.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
c.amazon-adsystem.com,Targeted Advertising cookies (including social media),Amazon Advertising,JavaScript,_ga_failed_lookup_marker_28_54,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.youtube.com,Targeted Advertising cookies (including social media),Google Advertising Products,JavaScript,_ga_failed_lookup_marker_28_56,,,TRUE,https://www.CLIENT_X.sk/c-e/ho/priprava-jedla/flip-juice.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
ajax.googleapis.com,Performance cookies,Google Inc.,JavaScript,_ga_failed_lookup_marker_28_59,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
lighting.CLIENT_X.sk,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_28_68,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
cdn.botframework.com,Performance cookies,Microsoft Bot Framework,JavaScript,_ga_failed_lookup_marker_28_72,,,TRUE,https://www.CLIENT_X.sk/c-p/HX6064_88/kefkove-nadstavce-optimal-white,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.sk,Essential cookies,CLIENT_X - Slovakia,HTTP Cookie,_ga_failed_lookup_marker_28_87,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
custom.yieldify.com,Targeted Advertising cookies (including social media),Yieldify,ETag,_ga_failed_lookup_marker_28_93,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
analytics.tiktok.com,Targeted Advertising cookies (including social media),TikTok,JavaScript,_ga_failed_lookup_marker_28_94,,,TRUE,http://www.CLIENT_X.sk/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
nebula-cdn.kampyle.com,Performance cookies,Medallia,ETag,_ga_failed_lookup_marker_28_99,,,TRUE,http://www.CLIENT_X.sk/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
widget-cdn.janraincapture.com,Performance cookies,Akamai,ETag,_ga_failed_lookup_marker_28_104,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
custom.yieldify.com,Targeted Advertising cookies (including social media),Yieldify,JavaScript,_ga_failed_lookup_marker_28_105,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.sk,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_28_109,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.sk,Targeted Advertising cookies (including social media),CLIENT_X - Slovakia,HTTP Cookie,_ga_failed_lookup_marker_28_143,,90,TRUE,https://www.CLIENT_X.sk/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
youtube.com,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_28_155,,session,TRUE,https://www.CLIENT_X.sk/c-e/ho/priprava-jedla/flip-juice.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.sk,Performance cookies,CLIENT_X - Slovakia,HTTP Cookie,_ga_failed_lookup_marker_28_156,,400,TRUE,https://www.CLIENT_X.sk/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
