tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
CLIENT_X.lt,Essential cookies,CLIENT_X - Lithuania,HTTP Cookie,_ga_failed_lookup_marker_31_16,,session,,https://www.shop.CLIENT_X.lt/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.lv,Essential cookies,CLIENT_X - Latvia,HTTP Cookie,_ga_failed_lookup_marker_31_23,,session,,https://www.shop.CLIENT_X.lv/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ee,Essential cookies,CLIENT_X - Republic of Estonia,HTTP Cookie,_ga_failed_lookup_marker_31_36,,session,,https://www.shop.CLIENT_X.ee/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.lt,Essential cookies,CLIENT_X - Lithuania,HTTP Cookie,_ga_failed_lookup_marker_31_42,,session,,https://www.shop.CLIENT_X.lt/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.lv,Essential cookies,CLIENT_X - Latvia,HTTP Cookie,_ga_failed_lookup_marker_31_49,,session,,https://www.shop.CLIENT_X.lv/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.lv,Essential cookies,CLIENT_X - Latvia,HTTP Cookie,_ga_failed_lookup_marker_31_65,,session,,https://www.shop.CLIENT_X.lv/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.lt,Essential cookies,CLIENT_X - Lithuania,HTTP Cookie,_ga_failed_lookup_marker_31_69,,session,,https://www.shop.CLIENT_X.lt/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ee,Essential cookies,CLIENT_X - Republic of Estonia,HTTP Cookie,_ga_failed_lookup_marker_31_72,,session,,https://www.shop.CLIENT_X.ee/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.lt,Essential cookies,CLIENT_X - Lithuania,HTTP Cookie,_ga_failed_lookup_marker_31_76,,session,,https://www.shop.CLIENT_X.lt/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.lv,Essential cookies,CLIENT_X - Latvia,HTTP Cookie,_ga_failed_lookup_marker_31_92,,session,,https://www.shop.CLIENT_X.lv/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.lt,Essential cookies,CLIENT_X - Lithuania,HTTP Cookie,_ga_failed_lookup_marker_31_117,,session,,https://www.shop.CLIENT_X.lt/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.lt,Essential cookies,CLIENT_X - Lithuania,HTTP Cookie,_ga_failed_lookup_marker_31_120,,session,,https://www.shop.CLIENT_X.lt/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.lv,Essential cookies,CLIENT_X - Latvia,HTTP Cookie,_ga_failed_lookup_marker_31_131,,session,,https://www.shop.CLIENT_X.lv/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.lv,Essential cookies,CLIENT_X - Latvia,HTTP Cookie,_ga_failed_lookup_marker_31_134,,session,,https://www.shop.CLIENT_X.lv/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ee,Essential cookies,CLIENT_X - Republic of Estonia,HTTP Cookie,_ga_failed_lookup_marker_31_139,,session,,https://www.shop.CLIENT_X.ee/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ee,Essential cookies,CLIENT_X - Republic of Estonia,HTTP Cookie,_ga_failed_lookup_marker_31_145,,session,,https://www.shop.CLIENT_X.ee/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.lv,Essential cookies,CLIENT_X - Latvia,HTTP Cookie,_ga_failed_lookup_marker_31_154,,session,,https://www.shop.CLIENT_X.lv/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.lt,Essential cookies,CLIENT_X - Lithuania,HTTP Cookie,_ga_failed_lookup_marker_31_170,,session,,https://www.shop.CLIENT_X.lt/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ee,Essential cookies,CLIENT_X - Republic of Estonia,HTTP Cookie,_ga_failed_lookup_marker_31_172,,session,,https://www.shop.CLIENT_X.ee/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ee,Essential cookies,CLIENT_X - Republic of Estonia,HTTP Cookie,_ga_failed_lookup_marker_31_198,,session,,https://www.shop.CLIENT_X.ee/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
