tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
CLIENT_X.ae,Essential cookies,CLIENT_X - Middle East Arab,HTTP Cookie,_ga_failed_lookup_marker_32_4,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
consent.trustarc.com,Essential cookies,TrustArc,Beacon,_ga_failed_lookup_marker_32_10,,,FALSE,https://www.CLIENT_X.ae/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ae,Essential cookies,CLIENT_X - Middle East Arab,HTTP Cookie,_ga_failed_lookup_marker_32_33,,session,FALSE,https://www.CLIENT_X.ae/ar,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
connect.facebook.net,Targeted Advertising cookies (including social media),Meta (formerly Facebook),JavaScript,_ga_failed_lookup_marker_32_47,,,FALSE,https://www.CLIENT_X.ae/ar,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ae,Essential cookies,CLIENT_X - Middle East Arab,HTTP Cookie,_ga_failed_lookup_marker_32_50,,90,,https://www.CLIENT_X.ae/ar,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
tag.demandbase.com,Targeted Advertising cookies (including social media),"Demandbase, Inc.",JavaScript,_ga_failed_lookup_marker_32_59,,,FALSE,https://www.CLIENT_X.ae/a-w/about,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ae,Essential cookies,CLIENT_X - Middle East Arab,HTTP Cookie,_ga_failed_lookup_marker_32_71,,session,FALSE,https://www.CLIENT_X.ae/ar,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
images.CLIENT_X.com,Targeted Advertising cookies (including social media),Koninklijke CLIENT_X N.V.,ETag,_ga_failed_lookup_marker_32_93,,,FALSE,https://www.CLIENT_X.ae/ar/c-p/AIS8540_80/%D8%AD%D9%84%D9%88%D9%84-%D8%A7%D9%84%D9%83%D9%8A-%D8%A7%D9%84%D9%85%D8%AA%D9%83%D8%A7%D9%85%D9%84%D8%A9-%D8%AC%D9%87%D8%A7%D8%B2-%D8%A7%D9%84%D9%83%D9%8A-%D8%A7%D9%84%D9%85%D8%AA%D9%83%D8%A7%D9%85%D9%84-%D8%A7%D9%84%D8%B3%D9%84%D8%B3%D9%84%D8%A9-8500,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ae,Essential cookies,CLIENT_X - Middle East Arab,HTTP Cookie,_ga_failed_lookup_marker_32_103,,90,FALSE,https://www.CLIENT_X.ae/ar,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ae,Essential cookies,CLIENT_X - Middle East Arab,HTTP Cookie,_ga_failed_lookup_marker_32_122,,session,FALSE,https://www.CLIENT_X.ae/ar,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.ae,Essential cookies,CLIENT_X - Middle East Arab,ETag,_ga_failed_lookup_marker_32_123,,,FALSE,https://www.CLIENT_X.ae/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ae,Essential cookies,CLIENT_X - Middle East Arab,HTTP Cookie,_ga_failed_lookup_marker_32_125,,session,,https://www.CLIENT_X.ae/ar,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ae,Essential cookies,CLIENT_X - Middle East Arab,HTTP Cookie,_ga_failed_lookup_marker_32_131,,session,FALSE,https://www.CLIENT_X.ae/ar,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.facebook.com,Targeted Advertising cookies (including social media),Meta (formerly Facebook),Beacon,_ga_failed_lookup_marker_32_133,,,FALSE,https://www.CLIENT_X.ae/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_Xb2c.file.force.com,Performance cookies,"Salesforce.com, Inc.",HTTP Cookie,_ga_failed_lookup_marker_32_134,,365,,https://www.CLIENT_X.ae/c-f/XC000019471/CLIENT_X-one-battery-replacement-instructions,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
custom.yieldify.com,Targeted Advertising cookies (including social media),Yieldify,JavaScript,_ga_failed_lookup_marker_32_148,,,FALSE,https://www.CLIENT_X.ae/ar,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.gstatic.com,Performance cookies,Google Inc.,JavaScript,_ga_failed_lookup_marker_32_159,,,FALSE,https://www.CLIENT_X.ae/ar/c-m-ho/cooking/toaster/latest,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.ae,Essential cookies,CLIENT_X - Middle East Arab,HTTP Cookie,_ga_failed_lookup_marker_32_172,,400,FALSE,https://www.CLIENT_X.ae/ar/c-m-ho/cooking/toaster/latest,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ae,Essential cookies,CLIENT_X - Middle East Arab,HTTP Cookie,_ga_failed_lookup_marker_32_187,,90,FALSE,https://www.CLIENT_X.ae/ar,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ae,Essential cookies,CLIENT_X - Middle East Arab,Local Storage,_ga_failed_lookup_marker_32_198,,,FALSE,https://www.CLIENT_X.ae/c-w/support-home/support-contact-page.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
