tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
www.CLIENT_X.am,Essential cookies,CLIENT_X - Armenia,Beacon,_ga_failed_lookup_marker_33_5,,,,https://www.CLIENT_X.am/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.am,Essential cookies,CLIENT_X - Armenia,HTTP Cookie,_ga_failed_lookup_marker_33_9,,400,,https://www.CLIENT_X.am/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.am,Essential cookies,CLIENT_X - Armenia,HTTP Cookie,_ga_failed_lookup_marker_33_15,,90,,https://www.CLIENT_X.am/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.am,Essential cookies,CLIENT_X - Armenia,HTTP Cookie,_ga_failed_lookup_marker_33_30,,session,,https://www.CLIENT_X.am/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
nebula-cdn.kampyle.com,Performance cookies,Medallia,JavaScript,_ga_failed_lookup_marker_33_39,,,,https://www.CLIENT_X.am/,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.112.2o7.net,Performance cookies,"Adobe Audience Manager, Adobe Experience Cloud",HTTP Cookie,_ga_failed_lookup_marker_33_94,,400,,https://www.CLIENT_X.am/,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.112.2o7.net,Performance cookies,"Adobe Audience Manager, Adobe Experience Cloud",HTTP Cookie,_ga_failed_lookup_marker_33_98,,400,,https://www.CLIENT_X.am/,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.am,Essential cookies,CLIENT_X - Armenia,ETag,_ga_failed_lookup_marker_33_113,,,,https://www.CLIENT_X.am/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.am,Essential cookies,CLIENT_X - Armenia,HTTP Cookie,_ga_failed_lookup_marker_33_116,,400,,https://www.CLIENT_X.am/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
consent.trustarc.com,Essential cookies,TrustArc,Beacon,_ga_failed_lookup_marker_33_153,,,,https://www.CLIENT_X.am/,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
tremorhub.com,Targeted Advertising cookies (including social media),"Magnite CTV, Inc.",HTTP Cookie,_ga_failed_lookup_marker_33_156,,400,,https://www.CLIENT_X.am/a-w/cookie-notice.html,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
nebula-cdn.kampyle.com,Performance cookies,Medallia,JavaScript,_ga_failed_lookup_marker_33_165,,,,https://www.CLIENT_X.am/,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
nebula-cdn.kampyle.com,Performance cookies,Medallia,ETag,_ga_failed_lookup_marker_33_168,,,,https://www.CLIENT_X.am/,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
consent.trustarc.com,Essential cookies,TrustArc,Beacon,_ga_failed_lookup_marker_33_177,,,,https://www.CLIENT_X.am/,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
tag.demandbase.com,Targeted Advertising cookies (including social media),"Demandbase, Inc.",JavaScript,_ga_failed_lookup_marker_33_178,,,,https://www.CLIENT_X.am/a-w/cookie-notice.html,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.am,Essential cookies,CLIENT_X - Armenia,HTTP Cookie,_ga_failed_lookup_marker_33_181,,0,,https://www.CLIENT_X.am/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_33_183,,30,,https://www.CLIENT_X.am/,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
ad.doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_33_191,,,,https://www.CLIENT_X.am/,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
consent-st.trustarc.com,Essential cookies,TrustArc,JavaScript,_ga_failed_lookup_marker_33_195,,,,https://www.CLIENT_X.am/,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
pixel.rubiconproject.com,Targeted Advertising cookies (including social media),"Magnite, Inc.",Beacon,_ga_failed_lookup_marker_33_196,,,,https://www.CLIENT_X.am/a-w/cookie-notice.html,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
