tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
googleads.g.doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_35_10,,,TRUE,https://www.CLIENT_X.by/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
adservice.google.com,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_35_16,,,TRUE,https://www.CLIENT_X.by/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.by,Essential cookies,CLIENT_X - Belarus,HTTP Cookie,_ga_failed_lookup_marker_35_32,,6,,https://www.CLIENT_X.by/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.by,Essential cookies,CLIENT_X - Belarus,HTTP Cookie,_ga_failed_lookup_marker_35_42,,365,TRUE,https://www.CLIENT_X.by/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.by,Essential cookies,CLIENT_X - Belarus,HTTP Cookie,_ga_failed_lookup_marker_35_48,,session,TRUE,https://www.CLIENT_X.by/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.by,Essential cookies,CLIENT_X - Belarus,HTTP Cookie,_ga_failed_lookup_marker_35_50,,session,TRUE,https://www.CLIENT_X.by/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
adservice.google.com,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_35_56,,,TRUE,https://www.CLIENT_X.by/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.by,Essential cookies,CLIENT_X - Belarus,HTTP Cookie,_ga_failed_lookup_marker_35_63,,400,TRUE,https://www.CLIENT_X.by/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.by,Essential cookies,CLIENT_X - Belarus,HTTP Cookie,_ga_failed_lookup_marker_35_66,,400,TRUE,https://www.CLIENT_X.by/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
ad.doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_35_90,,,TRUE,https://www.CLIENT_X.by/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
googleads.g.doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_35_108,,,TRUE,https://www.CLIENT_X.by/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.by,Essential cookies,CLIENT_X - Belarus,HTTP Cookie,_ga_failed_lookup_marker_35_120,,session,TRUE,https://www.CLIENT_X.by/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.by,Essential cookies,CLIENT_X - Belarus,Local Storage,_ga_failed_lookup_marker_35_125,,,TRUE,https://www.CLIENT_X.by/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.by,Essential cookies,CLIENT_X - Belarus,HTTP Cookie,_ga_failed_lookup_marker_35_126,,365,TRUE,https://www.CLIENT_X.by/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_35_139,,0,TRUE,https://www.CLIENT_X.by/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
cdn.speedcurve.com,Performance cookies,Speedcurve,JavaScript,_ga_failed_lookup_marker_35_144,,,TRUE,https://www.CLIENT_X.by/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.by,Essential cookies,CLIENT_X - Belarus,HTTP Cookie,_ga_failed_lookup_marker_35_155,,session,TRUE,https://www.CLIENT_X.by/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.by,Essential cookies,CLIENT_X - Belarus,HTTP Cookie,_ga_failed_lookup_marker_35_166,,session,TRUE,https://www.CLIENT_X.by/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.by,Essential cookies,CLIENT_X - Belarus,HTTP Cookie,_ga_failed_lookup_marker_35_168,,0,TRUE,https://www.CLIENT_X.by/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.by,Essential cookies,CLIENT_X - Belarus,HTTP Cookie,_ga_failed_lookup_marker_35_188,,session,TRUE,https://www.CLIENT_X.by/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
