tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
www.CLIENT_X.ca,Essential cookies,CLIENT_X - Canada,HTTP Cookie,_ga_failed_lookup_marker_36_9,,365,,https://www.CLIENT_X.ca/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.ca,Essential cookies,CLIENT_X - Canada,HTTP Cookie,_ga_failed_lookup_marker_36_21,,365,,https://www.CLIENT_X.ca/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
www.docs.lighting.CLIENT_X.com,Performance cookies,Signify (formerly CLIENT_X Lighting),ETag,_ga_failed_lookup_marker_36_26,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.ca,Essential cookies,CLIENT_X - Canada,HTTP Cookie,_ga_failed_lookup_marker_36_27,,365,,https://www.CLIENT_X.ca/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
lighting.CLIENT_X.com.ph,Essential cookies,CLIENT_X - Philippines,HTTP Cookie,_ga_failed_lookup_marker_36_32,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.ca,Essential cookies,CLIENT_X - Canada,HTTP Cookie,_ga_failed_lookup_marker_36_33,,365,,https://www.CLIENT_X.ca/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.com.ph,Essential cookies,CLIENT_X - Philippines,HTTP Cookie,_ga_failed_lookup_marker_36_39,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ca,Essential cookies,CLIENT_X - Canada,HTTP Cookie,_ga_failed_lookup_marker_36_66,,400,,https://www.CLIENT_X.ca/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.ca,Essential cookies,CLIENT_X - Canada,HTTP Cookie,_ga_failed_lookup_marker_36_97,,365,,https://www.CLIENT_X.ca/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ca,Essential cookies,CLIENT_X - Canada,HTTP Cookie,_ga_failed_lookup_marker_36_102,,0,,https://www.CLIENT_X.ca/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.ph,Essential cookies,CLIENT_X - Philippines,HTTP Cookie,_ga_failed_lookup_marker_36_104,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ca,Essential cookies,CLIENT_X - Canada,HTTP Cookie,_ga_failed_lookup_marker_36_106,,90,,https://www.CLIENT_X.ca/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.ca,Essential cookies,CLIENT_X - Canada,HTTP Cookie,_ga_failed_lookup_marker_36_122,,7,,https://www.CLIENT_X.ca/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.com.ph,Essential cookies,CLIENT_X - Philippines,HTTP Cookie,_ga_failed_lookup_marker_36_124,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.ph,Performance cookies,CLIENT_X - Philippines,HTTP Cookie,_ga_failed_lookup_marker_36_143,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ca,Essential cookies,CLIENT_X - Canada,HTTP Cookie,_ga_failed_lookup_marker_36_158,,90,,https://www.CLIENT_X.ca/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.ca,Essential cookies,CLIENT_X - Canada,HTTP Cookie,_ga_failed_lookup_marker_36_175,,30,,https://www.CLIENT_X.ca/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.ca,Essential cookies,CLIENT_X - Canada,HTTP Cookie,_ga_failed_lookup_marker_36_177,,365,,https://www.CLIENT_X.ca/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
www.realpro.lighting.CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,ETag,_ga_failed_lookup_marker_36_178,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
cdn.attn.tv,Performance cookies,"Attentive Mobile, Inc.",ETag,_ga_failed_lookup_marker_36_182,,,,https://www.CLIENT_X.ca/,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
