tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
tremorhub.com,Targeted Advertising cookies (including social media),"Magnite CTV, Inc.",HTTP Cookie,_ga_failed_lookup_marker_39_23,,400,,https://www.CLIENT_X.co.il/a-w/about,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.co.il,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_39_28,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
company-target.com,Targeted Advertising cookies (including social media),"Demandbase, Inc.",HTTP Cookie,_ga_failed_lookup_marker_39_29,,396,,https://www.CLIENT_X.co.il/a-w/about,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.co.il,Essential cookies,CLIENT_X - Israel,HTTP Cookie,_ga_failed_lookup_marker_39_30,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.co.il,Essential cookies,CLIENT_X - Israel,HTTP Cookie,_ga_failed_lookup_marker_39_42,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.co.il,Essential cookies,CLIENT_X - Israel,HTTP Cookie,_ga_failed_lookup_marker_39_44,,365,TRUE,https://www.CLIENT_X.co.il/healthcare/product/HC989803205381/nasalalarfastsposensorcaseof20,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
consent-pref.trustarc.com,Essential cookies,TrustArc,Local Storage,_ga_failed_lookup_marker_39_56,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.co.il,Essential cookies,CLIENT_X - Israel,HTTP Cookie,_ga_failed_lookup_marker_39_62,,1,TRUE,https://www.CLIENT_X.co.il/healthcare/product/HC989803205381/nasalalarfastsposensorcaseof20,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_39_70,,0,TRUE,https://www.CLIENT_X.co.il/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.googleadservices.com,Targeted Advertising cookies (including social media),Google Advertising Products,JavaScript,_ga_failed_lookup_marker_39_79,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
amazon-adsystem.com,Targeted Advertising cookies (including social media),Amazon Ads,HTTP Cookie,_ga_failed_lookup_marker_39_82,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
adservice.google.com,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_39_87,,,TRUE,http://www.CLIENT_X.co.il/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
lighting.CLIENT_X.co.il,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_39_89,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.co.il,Essential cookies,CLIENT_X - Israel,HTTP Cookie,_ga_failed_lookup_marker_39_94,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.google.com,Essential cookies,Google Inc.,HTTP Cookie,_ga_failed_lookup_marker_39_105,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.co.il,Essential cookies,CLIENT_X - Israel,HTTP Cookie,_ga_failed_lookup_marker_39_143,,0,TRUE,https://www.CLIENT_X.co.il/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
script.hotjar.com,Targeted Advertising cookies (including social media),Hotjar,ETag,_ga_failed_lookup_marker_39_160,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.realpro.lighting.CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,ETag,_ga_failed_lookup_marker_39_164,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.co.il,Essential cookies,CLIENT_X - Israel,HTTP Cookie,_ga_failed_lookup_marker_39_172,,400,,https://www.CLIENT_X.co.il/healthcare/product/HC989803205381/nasalalarfastsposensorcaseof20,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
googleads.g.doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_39_188,,,TRUE,http://www.CLIENT_X.co.il/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
