tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
casalemedia.com,Targeted Advertising cookies (including social media),Index Exchange Inc.,HTTP Cookie,_ga_failed_lookup_marker_41_0,,365,,https://www.CLIENT_X.co.jp/a-w/about,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.co.jp,Essential cookies,CLIENT_X Electronics Corporation Japan,HTTP Cookie,_ga_failed_lookup_marker_41_5,,session,,https://www.CLIENT_X.co.jp/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
static.hotjar.com,Performance cookies,Hotjar,JavaScript,_ga_failed_lookup_marker_41_32,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.co.jp,Essential cookies,CLIENT_X Electronics Corporation Japan,HTTP Cookie,_ga_failed_lookup_marker_41_36,,0,,https://www.CLIENT_X.co.jp/c-m-ho/cooking/nonfryer,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
demdex.net,Targeted Advertising cookies (including social media),"Adobe Audience Manager, Adobe Experience Platform",HTTP Cookie,_ga_failed_lookup_marker_41_48,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
casalemedia.com,Targeted Advertising cookies (including social media),Index Exchange Inc.,HTTP Cookie,_ga_failed_lookup_marker_41_57,,365,,https://www.CLIENT_X.co.jp/a-w/about,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.co.jp,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_41_58,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.accounts.CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,JavaScript,_ga_failed_lookup_marker_41_68,,,TRUE,https://www.CLIENT_X.co.jp/myCLIENT_X/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.co.jp,Targeted Advertising cookies (including social media),CLIENT_X Electronics Corporation Japan,HTTP Cookie,_ga_failed_lookup_marker_41_83,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
consent-pref.trustarc.com,Essential cookies,TrustArc,JavaScript,_ga_failed_lookup_marker_41_86,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.co.jp,Essential cookies,CLIENT_X Electronics Corporation Japan,HTTP Cookie,_ga_failed_lookup_marker_41_95,,session,,https://www.CLIENT_X.co.jp/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
lighting.CLIENT_X.co.jp,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_41_116,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
amazon-adsystem.com,Targeted Advertising cookies (including social media),Amazon Ads,HTTP Cookie,_ga_failed_lookup_marker_41_122,,400,TRUE,https://www.CLIENT_X.co.jp/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
d.la11-core1.sfdc-cehfhs.salesforceliveagent.com,Performance cookies,"Salesforce.com, Inc.",JavaScript,_ga_failed_lookup_marker_41_132,,,,https://www.CLIENT_X.co.jp/c-f/XC000005321/%E6%9D%90%E6%96%99%E3%81%AF%E3%81%A9%E3%81%AE%E3%81%8F%E3%82%89%E3%81%84%E3%81%AE%E3%82%B5%E3%82%A4%E3%82%BA%E3%81%AB%E3%81%97%E3%81%A6%E3%81%8A%E3%81%8F%E5%BF%85%E8%A6%81%E3%81%8C%E3%81%82%E3%82%8A%E3%81%BE%E3%81%99%E3%81%8B%E3%80%82,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.co.jp,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_41_141,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
youtube.com,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_41_155,,session,TRUE,https://www.CLIENT_X.co.jp/c-m-ho/food-preparation/multi-chopper,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.co.jp,Essential cookies,CLIENT_X Electronics Corporation Japan,HTTP Cookie,_ga_failed_lookup_marker_41_185,,59,TRUE,https://www.CLIENT_X.co.jp/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
cdn.channelsight.com,Essential cookies,ChannelSight,ETag,_ga_failed_lookup_marker_41_189,,,TRUE,https://www.CLIENT_X.co.jp/c-e/CLIENT_X-one.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.co.jp,Essential cookies,CLIENT_X Electronics Corporation Japan,HTTP Cookie,_ga_failed_lookup_marker_41_190,,365,TRUE,https://www.CLIENT_X.co.jp/c-m-ho/cooking/nonfryer,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
*.t.eloqua.com,Targeted Advertising cookies (including social media),Oracle Marketing,JavaScript,_ga_failed_lookup_marker_41_191,,,,https://www.CLIENT_X.co.jp/healthcare/solutions/computed-tomography,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
