tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
*.mktoweb.com,Targeted Advertising cookies (including social media),Marketo,JavaScript,_ga_failed_lookup_marker_47_1,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
tccommercear.vtexassets.com,Targeted Advertising cookies (including social media),VTEX,JavaScript,_ga_failed_lookup_marker_47_21,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
lighting.CLIENT_X.com.ar,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_47_37,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.lightset-creator.lighting.CLIENT_X.com,Targeted Advertising cookies (including social media),Signify (formerly CLIENT_X Lighting),JavaScript,_ga_failed_lookup_marker_47_53,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.crsc.lighting.CLIENT_X.com,Performance cookies,Signify (formerly CLIENT_X Lighting),ETag,_ga_failed_lookup_marker_47_54,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.airdisinfectioncalculator.lighting.CLIENT_X.com,Performance cookies,Signify (formerly CLIENT_X Lighting),JavaScript,_ga_failed_lookup_marker_47_64,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
consent-pref.trustarc.com,Essential cookies,TrustArc,JavaScript,_ga_failed_lookup_marker_47_85,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
media.flixfacts.com,Performance cookies,Flixmedia,ETag,_ga_failed_lookup_marker_47_90,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.112.2o7.net,Performance cookies,"Adobe Audience Manager, Adobe Experience Cloud",HTTP Cookie,_ga_failed_lookup_marker_47_96,,400,,https://www.CLIENT_X.com.ar/,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.com.ar,Essential cookies,CLIENT_X - Argentina,HTTP Cookie,_ga_failed_lookup_marker_47_101,,400,TRUE,https://www.CLIENT_X.com.ar/healthcare/resources/landing/ultrasound-article-pages/contrast-enhanced-ultrasound,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
adservice.google.com,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_47_113,,,TRUE,http://www.CLIENT_X.com.ar/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.ar,Performance cookies,CLIENT_X - Argentina,HTTP Cookie,_ga_failed_lookup_marker_47_117,,session,TRUE,https://www.CLIENT_X.com.ar/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.com.ar,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_47_122,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
img.en25.com,Targeted Advertising cookies (including social media),Oracle Marketing,JavaScript,_ga_failed_lookup_marker_47_134,,,TRUE,https://www.CLIENT_X.com.ar/healthcare,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
consent.truste.com,Essential cookies,TrustArc,JavaScript,_ga_failed_lookup_marker_47_136,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
raw.githubusercontent.com,Performance cookies,GitHub Inc.,ETag,_ga_failed_lookup_marker_47_164,,,TRUE,https://www.CLIENT_X.com.ar/healthcare/about/distributors,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.uvccalculator.lighting.CLIENT_X.com,Performance cookies,Koninklijke CLIENT_X N.V.,ETag,_ga_failed_lookup_marker_47_173,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
conversiontool.lighting.CLIENT_X.com,Targeted Advertising cookies (including social media),Koninklijke CLIENT_X N.V.,Local Storage,_ga_failed_lookup_marker_47_180,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
stats.g.doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_47_186,,,TRUE,http://www.CLIENT_X.com.ar/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.tienda.CLIENT_X.com.ar,Essential cookies,CLIENT_X - Argentina,HTTP Cookie,_ga_failed_lookup_marker_47_195,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
