tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
linkedin.com,Targeted Advertising cookies (including social media),LinkedIn,HTTP Cookie,_ga_failed_lookup_marker_48_39,,1,TRUE,https://www.CLIENT_X.com.bh/c-e/ho/air-purifier-and-air-humidifier/air-performer-series-8000.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_Xb2c.my.site.com,Performance cookies,"Salesforce.com, Inc.",Local Storage,_ga_failed_lookup_marker_48_46,,,TRUE,https://www.CLIENT_X.com.bh/c-w/support-home/support-contact-page.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_48_48,,390,TRUE,https://www.CLIENT_X.com.bh/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
analytics-ipv6.tiktokw.us,Targeted Advertising cookies (including social media),TikTok,Beacon,_ga_failed_lookup_marker_48_54,,,TRUE,https://www.CLIENT_X.com.bh/c-e/ho/air-purifier-and-air-humidifier/air-performer-series-8000.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
tag-logger.demandbase.com,Targeted Advertising cookies (including social media),"Demandbase, Inc.",ETag,_ga_failed_lookup_marker_48_71,,,TRUE,https://www.CLIENT_X.com.bh/healthcare/clinical-solutions/alarm-management,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.com.bh,Essential cookies,CLIENT_X - Bahrain,ETag,_ga_failed_lookup_marker_48_83,,,TRUE,https://www.CLIENT_X.com.bh/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.com.bh,Essential cookies,CLIENT_X - Bahrain,HTTP Cookie,_ga_failed_lookup_marker_48_94,,0,TRUE,https://www.CLIENT_X.com.bh/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.youtube.com,Targeted Advertising cookies (including social media),Google Advertising Products,JavaScript,_ga_failed_lookup_marker_48_99,,,TRUE,https://www.CLIENT_X.com.bh/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.bh,Essential cookies,CLIENT_X - Bahrain,HTTP Cookie,_ga_failed_lookup_marker_48_101,,7,TRUE,https://www.CLIENT_X.com.bh/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
region1.analytics.google.com,Performance cookies,Google Inc.,Beacon,_ga_failed_lookup_marker_48_104,,,TRUE,https://www.CLIENT_X.com.bh/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
img.youtube.com,Targeted Advertising cookies (including social media),Google Advertising Products,ETag,_ga_failed_lookup_marker_48_106,,,,https://www.CLIENT_X.com.bh/healthcare/product/HC881072/intellispaceportaladvancedvisualizationsolution,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.bh,Essential cookies,CLIENT_X - Bahrain,HTTP Cookie,_ga_failed_lookup_marker_48_115,,90,TRUE,https://www.CLIENT_X.com.bh/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.com,Targeted Advertising cookies (including social media),Koninklijke CLIENT_X N.V.,ETag,_ga_failed_lookup_marker_48_123,,,,https://www.CLIENT_X.com.bh/c-f/XC000003591/what-kind-of-food-can-i-make-in-my-CLIENT_X-airfryer,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_Xb2c.my.site.com,Performance cookies,"Salesforce.com, Inc.",JavaScript,_ga_failed_lookup_marker_48_143,,,TRUE,https://www.CLIENT_X.com.bh/c-w/support-home/support-contact-page.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
googleads.g.doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_48_149,,,TRUE,https://www.CLIENT_X.com.bh/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.bh,Essential cookies,CLIENT_X - Bahrain,HTTP Cookie,_ga_failed_lookup_marker_48_157,,400,TRUE,https://www.CLIENT_X.com.bh/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
sc-static.net,Targeted Advertising cookies (including social media),Snap Inc.,JavaScript,_ga_failed_lookup_marker_48_177,,,TRUE,https://www.CLIENT_X.com.bh/c-e/ho/air-purifier-and-air-humidifier/air-performer-series-8000.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
company-target.com,Targeted Advertising cookies (including social media),"Demandbase, Inc.",HTTP Cookie,_ga_failed_lookup_marker_48_190,,396,TRUE,https://www.CLIENT_X.com.bh/a-w/about-CLIENT_X/company-profile/businesses.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.bh,Essential cookies,CLIENT_X - Bahrain,HTTP Cookie,_ga_failed_lookup_marker_48_191,,session,TRUE,https://www.CLIENT_X.com.bh/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.bh,Essential cookies,CLIENT_X - Bahrain,HTTP Cookie,_ga_failed_lookup_marker_48_199,,400,TRUE,https://www.CLIENT_X.com.bh/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
