tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
jadserve.postrelease.com,Targeted Advertising cookies (including social media),"Nativo, Inc.",HTTP Cookie,_ga_failed_lookup_marker_49_5,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
signify.blueconic.net,Targeted Advertising cookies (including social media),BlueConic,HTTP Cookie,_ga_failed_lookup_marker_49_9,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
k-analytix.com,Targeted Advertising cookies (including social media),Konduto,HTTP Cookie,_ga_failed_lookup_marker_49_20,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
platform-eu.cloud.coveo.com,Targeted Advertising cookies (including social media),Coveo Solutions Inc.,HTTP Cookie,_ga_failed_lookup_marker_49_35,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
emxdgt.com,Targeted Advertising cookies (including social media),Cadent,HTTP Cookie,_ga_failed_lookup_marker_49_37,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.br,Essential cookies,CLIENT_X - Brazil,HTTP Cookie,_ga_failed_lookup_marker_49_51,,89,,https://www.CLIENT_X.com.br/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
eb2.3lift.com,Targeted Advertising cookies (including social media),"Triple Lift, Inc.",HTTP Cookie,_ga_failed_lookup_marker_49_55,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
bluekai.com,Targeted Advertising cookies (including social media),Oracle Advertising,HTTP Cookie,_ga_failed_lookup_marker_49_61,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
media.flixcar.com,Targeted Advertising cookies (including social media),Flixmedia,HTTP Cookie,_ga_failed_lookup_marker_49_67,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
cw.addthis.com,Targeted Advertising cookies (including social media),Oracle AddThis,HTTP Cookie,_ga_failed_lookup_marker_49_100,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_Xb2c.my.salesforce-scrt.com,Performance cookies,"Salesforce.com, Inc.",Beacon,_ga_failed_lookup_marker_49_113,,,,https://www.CLIENT_X.com.br/a-w/about-CLIENT_X/perfil-da-empresa/contato.html,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
checkout.visa.com,Targeted Advertising cookies (including social media),Visa,HTTP Cookie,_ga_failed_lookup_marker_49_126,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
soclminer.com.br,Targeted Advertising cookies (including social media),Social Miner,HTTP Cookie,_ga_failed_lookup_marker_49_129,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.assets.lighting.CLIENT_X.com,Targeted Advertising cookies (including social media),Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_49_135,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
master--CLIENT_Xprofissional.myvtex.com,Targeted Advertising cookies (including social media),VTEX,HTTP Cookie,_ga_failed_lookup_marker_49_138,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
widget-mediator.zopim.com,Targeted Advertising cookies (including social media),Zendesk,HTTP Cookie,_ga_failed_lookup_marker_49_140,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
*.akamaihd.net,Targeted Advertising cookies (including social media),Akamai,HTTP Cookie,_ga_failed_lookup_marker_49_146,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
ib.adnxs.com,Targeted Advertising cookies (including social media),"Xandr, Inc.",HTTP Cookie,_ga_failed_lookup_marker_49_154,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
pool.admedo.com,Targeted Advertising cookies (including social media),LIFT DSP LIMITED,HTTP Cookie,_ga_failed_lookup_marker_49_172,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
maxcdn.bootstrapcdn.com,Targeted Advertising cookies (including social media),Bootstrap CDN,HTTP Cookie,_ga_failed_lookup_marker_49_175,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
