tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
demdex.net,Targeted Advertising cookies (including social media),"Adobe Audience Manager, Adobe Experience Cloud",HTTP Cookie,_ga_failed_lookup_marker_50_31,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
*.mktoweb.com,Targeted Advertising cookies (including social media),Marketo,ETag,_ga_failed_lookup_marker_50_50,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
login.cn.janrain.biz,Performance cookies,Akamai,JavaScript,_ga_failed_lookup_marker_50_53,,,TRUE,https://www.CLIENT_X.com.cn/p-m-pa/professional-air-quality-solutions.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
code.jquery.com,Performance cookies,jQuery,JavaScript,_ga_failed_lookup_marker_50_71,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.phca.CLIENT_X.com.cn,Essential cookies,CLIENT_X - China,HTTP Cookie,_ga_failed_lookup_marker_50_79,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.com,Performance cookies,Signify (formerly CLIENT_X Lighting),ETag,_ga_failed_lookup_marker_50_114,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
koninklijkeCLIENT_Xnvproduction2k8xfrmr.org.coveo.com,Performance cookies,Coveo Solutions Inc.,Beacon,_ga_failed_lookup_marker_50_124,,,,https://www.CLIENT_X.com.cn/a-w/about/news/all-news.html,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
nebula-cdn.kampyle.com,Performance cookies,Medallia,ETag,_ga_failed_lookup_marker_50_127,,,TRUE,https://www.CLIENT_X.com.cn/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
c.go-mpulse.net,Performance cookies,Akamai,JavaScript,_ga_failed_lookup_marker_50_136,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
region1.analytics.google.com,Performance cookies,Google Inc.,Beacon,_ga_failed_lookup_marker_50_140,,,TRUE,https://www.CLIENT_X.com.cn/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.googletagmanager.com,Performance cookies,Google Inc.,Beacon,_ga_failed_lookup_marker_50_148,,,TRUE,https://www.CLIENT_X.com.cn/c-m-ho/cooking/toaster,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
lighting.CLIENT_X.com.cn,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_50_157,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.shop.CLIENT_X.com.cn,Essential cookies,CLIENT_X - China,HTTP Cookie,_ga_failed_lookup_marker_50_158,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.results.CLIENT_X.com,Performance cookies,Koninklijke CLIENT_X N.V.,ETag,_ga_failed_lookup_marker_50_161,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
shop.CLIENT_X.com.cn,Essential cookies,CLIENT_X - China,HTTP Cookie,_ga_failed_lookup_marker_50_175,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_50_179,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
hm.baidu.com,Performance cookies,Baidu,HTTP Cookie,_ga_failed_lookup_marker_50_184,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
ad.doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_50_190,,,TRUE,https://www.CLIENT_X.com.cn/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
hm.baidu.com,Performance cookies,Baidu,Beacon,_ga_failed_lookup_marker_50_193,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.com.cn,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_50_194,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
