tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
versuni.scene7.com,Performance cookies,Adobe Experience Cloud - Experience Manager,ETag,_ga_failed_lookup_marker_56_2,,,TRUE,https://www.CLIENT_X.com.kw/c-f/XC000021359/how-to-clean-my-CLIENT_X-homerun-vacuum-cleaner-robot,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.googletagmanager.com,Performance cookies,Google Inc.,JavaScript,_ga_failed_lookup_marker_56_7,,,TRUE,https://www.CLIENT_X.com.kw/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
td.yieldify.com,Targeted Advertising cookies (including social media),Yieldify,JavaScript,_ga_failed_lookup_marker_56_12,,,TRUE,https://www.CLIENT_X.com.kw/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
stats.g.doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_56_13,,,TRUE,https://www.CLIENT_X.com.kw/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
img.en25.com,Performance cookies,Oracle Marketing,JavaScript,_ga_failed_lookup_marker_56_15,,,,https://www.CLIENT_X.com.kw/healthcare,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.kw,Essential cookies,CLIENT_X - Kuwait,HTTP Cookie,_ga_failed_lookup_marker_56_29,,0,TRUE,https://www.CLIENT_X.com.kw/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_Xb2c.my.site.com,Performance cookies,"Salesforce.com, Inc.",Beacon,_ga_failed_lookup_marker_56_36,,,TRUE,https://www.CLIENT_X.com.kw/c-w/support-home/support-contact-page.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
snapchat.com,Targeted Advertising cookies (including social media),Snap Inc.,HTTP Cookie,_ga_failed_lookup_marker_56_45,,390,TRUE,https://www.CLIENT_X.com.kw/c-e/ho/air-purifier-and-air-humidifier/air-performer-series-8000,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.googleapis.com,Performance cookies,Google Inc.,JavaScript,_ga_failed_lookup_marker_56_53,,,TRUE,https://www.CLIENT_X.com.kw/c-f/XC000021361/howwhen-to-replace-the-dust-bag-of-my-CLIENT_X-homerun-vacuum-cleaner-robot,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.kw,Essential cookies,CLIENT_X - Kuwait,HTTP Cookie,_ga_failed_lookup_marker_56_61,,400,TRUE,https://www.CLIENT_X.com.kw/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.google.com,Performance cookies,Google Inc.,JavaScript,_ga_failed_lookup_marker_56_75,,,TRUE,https://www.CLIENT_X.com.kw/healthcare/about/contact,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
sc-static.net,Targeted Advertising cookies (including social media),Snap Inc.,JavaScript,_ga_failed_lookup_marker_56_82,,,TRUE,https://www.CLIENT_X.com.kw/c-e/ho/air-purifier-and-air-humidifier/air-performer-series-8000,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_Xb2c.my.salesforce-scrt.com,Performance cookies,"Salesforce.com, Inc.",Beacon,_ga_failed_lookup_marker_56_87,,,TRUE,https://www.CLIENT_X.com.kw/c-w/support-home/support-contact-page.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
px.ads.linkedin.com,Targeted Advertising cookies (including social media),LinkedIn,JavaScript,_ga_failed_lookup_marker_56_98,,,TRUE,https://www.CLIENT_X.com.kw/ar/c-p/NX0960_99/air-steam-cooker-7000-series,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_Xb2c.lightning.force.com,Performance cookies,"Salesforce.com, Inc.",HTTP Cookie,_ga_failed_lookup_marker_56_132,,365,,https://www.CLIENT_X.com.kw/c-f/XC000019471/CLIENT_X-one-battery-replacement-instructions,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.com.kw,Essential cookies,CLIENT_X - Kuwait,HTTP Cookie,_ga_failed_lookup_marker_56_138,,365,,https://www.CLIENT_X.com.kw/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
versuni.scene7.com,Performance cookies,Adobe Experience Cloud - Experience Manager,JavaScript,_ga_failed_lookup_marker_56_144,,,TRUE,https://www.CLIENT_X.com.kw/c-f/XC000021357/how-to-create-and-manage-maps-in-my-CLIENT_X-homerun-app,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
snap.licdn.com,Performance cookies,LinkedIn,JavaScript,_ga_failed_lookup_marker_56_167,,,TRUE,https://www.CLIENT_X.com.kw/c-e/ho/air-purifier-and-air-humidifier/air-performer-series-8000,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
stats.g.doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_56_184,,,TRUE,https://www.CLIENT_X.com.kw/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.googleapis.com,Performance cookies,Google Inc.,JavaScript,_ga_failed_lookup_marker_56_198,,,TRUE,https://www.CLIENT_X.com.kw/c-f/XC000021361/howwhen-to-replace-the-dust-bag-of-my-CLIENT_X-homerun-vacuum-cleaner-robot,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
