tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
www.CLIENT_X.com.lb,Essential cookies (exempt from consent),CLIENT_X - Lebanon,HTTP Cookie,_ga_failed_lookup_marker_57_2,,0,TRUE,https://www.CLIENT_X.com.lb/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
cdn.speedcurve.com,Performance cookies [Requires consent],Speedcurve,JavaScript,_ga_failed_lookup_marker_57_8,,,TRUE,https://www.CLIENT_X.com.lb/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
stats.g.doubleclick.net,Targeted Advertising cookies (including social media) [Requires consent],Google Advertising Products,Beacon,_ga_failed_lookup_marker_57_11,,,TRUE,https://www.CLIENT_X.com.lb/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
img.youtube.com,Targeted Advertising cookies (including social media),Google Advertising Products,ETag,_ga_failed_lookup_marker_57_13,,,,https://www.CLIENT_X.com.lb/en/healthcare/product/HCNOCTN281/-,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.lb,Essential cookies (exempt from consent),CLIENT_X - Lebanon,HTTP Cookie,_ga_failed_lookup_marker_57_19,,0,TRUE,https://www.CLIENT_X.com.lb/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.lb,Essential cookies (exempt from consent),CLIENT_X - Lebanon,HTTP Cookie,_ga_failed_lookup_marker_57_25,,400,TRUE,https://www.CLIENT_X.com.lb/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
tr.snapchat.com,Targeted Advertising cookies (including social media) [Requires consent],Snap Inc.,Beacon,_ga_failed_lookup_marker_57_39,,,TRUE,https://www.CLIENT_X.com.lb/c-e/ho/ironing/all-in-one-8000-series.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
youtube.com,Targeted Advertising cookies (including social media) [Requires consent],Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_57_59,,180,TRUE,https://www.CLIENT_X.com.lb/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
tr.snapchat.com,Targeted Advertising cookies (including social media) [Requires consent],Snap Inc.,JavaScript,_ga_failed_lookup_marker_57_71,,,TRUE,https://www.CLIENT_X.com.lb/c-e/ho/ironing/azur-8000-series.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
adservice.google.com,Targeted Advertising cookies (including social media) [Requires consent],Google Advertising Products,Beacon,_ga_failed_lookup_marker_57_72,,,TRUE,https://www.CLIENT_X.com.lb/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.com.lb,Essential cookies (exempt from consent),CLIENT_X - Lebanon,HTTP Cookie,_ga_failed_lookup_marker_57_80,,7,TRUE,https://www.CLIENT_X.com.lb/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.com.lb,Essential cookies (exempt from consent),CLIENT_X - Lebanon,HTTP Cookie,_ga_failed_lookup_marker_57_88,,0,TRUE,https://www.CLIENT_X.com.lb/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.lb,Essential cookies (exempt from consent),CLIENT_X - Lebanon,HTTP Cookie,_ga_failed_lookup_marker_57_90,,0,TRUE,https://www.CLIENT_X.com.lb/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.com.lb,Essential cookies (exempt from consent),CLIENT_X - Lebanon,HTTP Cookie,_ga_failed_lookup_marker_57_107,,365,TRUE,https://www.CLIENT_X.com.lb/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
agent-versuni.mindtouch.us,Performance cookies,MindTouch,Beacon,_ga_failed_lookup_marker_57_143,,,,https://www.CLIENT_X.com.lb/en/c-f/XC000021443/my-CLIENT_X-fan-makes-an-unusual-noise-when-oscillating,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
tremorhub.com,Targeted Advertising cookies (including social media) [Requires consent],"Magnite CTV, Inc.",HTTP Cookie,_ga_failed_lookup_marker_57_154,,365,TRUE,https://www.CLIENT_X.com.lb/a-w/about-CLIENT_X/company-profile.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.googleapis.com,Performance cookies [Requires consent],Google Inc.,JavaScript,_ga_failed_lookup_marker_57_158,,,TRUE,https://www.CLIENT_X.com.lb/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.lb,Essential cookies (exempt from consent),CLIENT_X - Lebanon,HTTP Cookie,_ga_failed_lookup_marker_57_172,,400,TRUE,https://www.CLIENT_X.com.lb/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
images.CLIENT_X.com,Targeted Advertising cookies (including social media) [Requires consent],Koninklijke CLIENT_X N.V.,JavaScript,_ga_failed_lookup_marker_57_188,,,TRUE,https://www.CLIENT_X.com.lb/en/healthcare/product/HC722227/azurion-5-m12-image-guided-therapy-system,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
agent-versuni.mindtouch.us,Performance cookies,MindTouch,Beacon,_ga_failed_lookup_marker_57_189,,,,https://www.CLIENT_X.com.lb/en/c-f/XC000021443/my-CLIENT_X-fan-makes-an-unusual-noise-when-oscillating,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
