tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
apps.mypurecloud.de,Performance cookies,Genesys,ETag,_ga_failed_lookup_marker_58_8,,,TRUE,https://www.CLIENT_X.com.mx/c-t/XC000004105/la-cafetera-espresso-de-CLIENT_X-produce-un-ruido,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
sc-static.net,Targeted Advertising cookies (including social media),Snap Inc.,HTTP Cookie,_ga_failed_lookup_marker_58_17,,1,TRUE,https://www.CLIENT_X.com.mx/c-m-ho/cocina,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
logo.flix360.io,Performance cookies,Flix360.com,ETag,_ga_failed_lookup_marker_58_21,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.datadoghq-browser-agent.com,Performance cookies,Datadog,JavaScript,_ga_failed_lookup_marker_58_30,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.mx,Essential cookies,CLIENT_X - Mexico,HTTP Cookie,_ga_failed_lookup_marker_58_33,,60,TRUE,https://www.CLIENT_X.com.mx/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.com,Performance cookies,Signify (formerly CLIENT_X Lighting),JavaScript,_ga_failed_lookup_marker_58_47,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.mx,Essential cookies,CLIENT_X - Mexico,HTTP Cookie,_ga_failed_lookup_marker_58_67,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.mx,Essential cookies,CLIENT_X - Mexico,HTTP Cookie,_ga_failed_lookup_marker_58_76,,session,TRUE,https://www.CLIENT_X.com.mx/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
mc.yandex.com,Targeted Advertising cookies (including social media),Yandex,ETag,_ga_failed_lookup_marker_58_85,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
youtube.com,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_58_88,,180,,https://www.CLIENT_X.com.mx/c-w/malegrooming/products/body-grooming/como-pasar-de-oso-a-pelado.html,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.mx,Essential cookies,CLIENT_X - Mexico,HTTP Cookie,_ga_failed_lookup_marker_58_92,,90,TRUE,https://www.CLIENT_X.com.mx/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.com.mx,Essential cookies,CLIENT_X - Mexico,HTTP Cookie,_ga_failed_lookup_marker_58_97,,365,TRUE,https://www.CLIENT_X.com.mx/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
tag.demandbase.com,Targeted Advertising cookies (including social media),"Demandbase, Inc.",JavaScript,_ga_failed_lookup_marker_58_117,,,TRUE,https://www.CLIENT_X.com.mx/a-w/about,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,HTTP Cookie,_ga_failed_lookup_marker_58_123,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
photometrics.lighting.CLIENT_X.com,Targeted Advertising cookies (including social media),Koninklijke CLIENT_X N.V.,HTTP Cookie,_ga_failed_lookup_marker_58_130,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.airdisinfectioncalculator.lighting.CLIENT_X.com,Performance cookies,Signify (formerly CLIENT_X Lighting),ETag,_ga_failed_lookup_marker_58_144,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
mc.yandex.com,Targeted Advertising cookies (including social media),Yandex,HTTP Cookie,_ga_failed_lookup_marker_58_157,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
media.flixcar.com,Targeted Advertising cookies (including social media),Flixmedia,JavaScript,_ga_failed_lookup_marker_58_163,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
yandex.com,Targeted Advertising cookies (including social media),Yandex,HTTP Cookie,_ga_failed_lookup_marker_58_179,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
tst.CLIENT_X.com.mx,Essential cookies,CLIENT_X - Mexico,JavaScript,_ga_failed_lookup_marker_58_190,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
