tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
CLIENT_X.com.sg,Essential cookies,CLIENT_X - Singapore,HTTP Cookie,_ga_failed_lookup_marker_65_30,,0,TRUE,https://www.CLIENT_X.com.sg/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.com.sg,Essential cookies,Signify (formerly CLIENT_X Lighting),JavaScript,_ga_failed_lookup_marker_65_36,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
consent.trustarc.com,Essential cookies,TrustArc,Beacon,_ga_failed_lookup_marker_65_52,,,TRUE,https://www.CLIENT_X.com.sg/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.sg,Essential cookies,CLIENT_X - Singapore,HTTP Cookie,_ga_failed_lookup_marker_65_57,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
tr.snapchat.com,Targeted Advertising cookies (including social media),Snap Inc.,JavaScript,_ga_failed_lookup_marker_65_59,,,TRUE,https://www.CLIENT_X.com.sg/c-p/SDR603ABS0_97/smart-clothes-drying-rack,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
munchkin.marketo.net,Targeted Advertising cookies (including social media),Marketo,ETag,_ga_failed_lookup_marker_65_64,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
static.hotjar.com,Performance cookies,Hotjar,ETag,_ga_failed_lookup_marker_65_81,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.sg,Performance cookies,CLIENT_X - Singapore,HTTP Cookie,_ga_failed_lookup_marker_65_101,,session,TRUE,https://www.CLIENT_X.com.sg/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.com.sg,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_65_108,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.sg,Targeted Advertising cookies (including social media),CLIENT_X - Singapore,HTTP Cookie,_ga_failed_lookup_marker_65_109,,90,TRUE,https://www.CLIENT_X.com.sg/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.sg,Essential cookies,CLIENT_X - Singapore,HTTP Cookie,_ga_failed_lookup_marker_65_111,,400,,https://www.CLIENT_X.com.sg/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
munchkin.marketo.net,Targeted Advertising cookies (including social media),Marketo,JavaScript,_ga_failed_lookup_marker_65_115,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_65_141,,30,TRUE,https://www.CLIENT_X.com.sg/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.gearselectiontool.lighting.CLIENT_X.com,Performance cookies,Signify (formerly CLIENT_X Lighting),JavaScript,_ga_failed_lookup_marker_65_155,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
google.com,Performance cookies,Google Inc.,Local Storage,_ga_failed_lookup_marker_65_165,,,TRUE,https://www.CLIENT_X.com.sg/myCLIENT_X/myCLIENT_X-popup,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.sg,Essential cookies,CLIENT_X - Singapore,HTTP Cookie,_ga_failed_lookup_marker_65_167,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
snapchat.com,Targeted Advertising cookies (including social media),Snap Inc.,HTTP Cookie,_ga_failed_lookup_marker_65_171,,390,TRUE,https://www.CLIENT_X.com.sg/c-e/ho/recall-perfectcare-8000-9000-elite-series,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.com.sg,Essential cookies,CLIENT_X - Singapore,HTTP Cookie,_ga_failed_lookup_marker_65_174,,session,,https://www.CLIENT_X.com.sg/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
c.go-mpulse.net,Performance cookies,Akamai,JavaScript,_ga_failed_lookup_marker_65_176,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.sg,Essential cookies,CLIENT_X - Singapore,HTTP Cookie,_ga_failed_lookup_marker_65_181,,400,TRUE,https://www.CLIENT_X.com.sg/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
