tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
googleads.g.doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_67_10,,,FALSE,https://www.CLIENT_X.com.tw/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.com.tw,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_67_15,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
adservice.google.com,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_67_20,,,FALSE,https://www.CLIENT_X.com.tw/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
force.com,Essential cookies,"salesforce.com, inc.",HTTP Cookie,_ga_failed_lookup_marker_67_25,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
company-target.com,Targeted Advertising cookies (including social media),"Demandbase, Inc.",HTTP Cookie,_ga_failed_lookup_marker_67_28,,396,FALSE,https://www.CLIENT_X.com.tw/a-w/about-CLIENT_X/investor-relations.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.assets.signify.com,Performance cookies,Signify (formerly CLIENT_X Lighting),ETag,_ga_failed_lookup_marker_67_30,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.tw,Performance cookies,CLIENT_X - Taiwan,HTTP Cookie,_ga_failed_lookup_marker_67_31,,session,TRUE,https://www.CLIENT_X.com.tw/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
accunix.net,Targeted Advertising cookies (including social media),Unknown,HTTP Cookie,_ga_failed_lookup_marker_67_37,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
cft.holmesmind.com,Performance cookies,DoubleMax Technology,ETag,_ga_failed_lookup_marker_67_44,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.tw,Essential cookies,CLIENT_X - Taiwan,HTTP Cookie,_ga_failed_lookup_marker_67_49,,400,,https://www.CLIENT_X.com.tw/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.assets.lighting.CLIENT_X.com,Performance cookies,Signify (formerly CLIENT_X Lighting),ETag,_ga_failed_lookup_marker_67_58,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.tw,Essential cookies,CLIENT_X - Taiwan,HTTP Cookie,_ga_failed_lookup_marker_67_85,,session,TRUE,https://www.CLIENT_X.com.tw/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.tw,Essential cookies,CLIENT_X - Taiwan,HTTP Cookie,_ga_failed_lookup_marker_67_109,,90,TRUE,https://www.CLIENT_X.com.tw/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.com.tw,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_67_115,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
lighting.CLIENT_X.com.tw,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_67_124,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
googleads.g.doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_67_169,,,FALSE,https://www.CLIENT_X.com.tw/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.tw,Essential cookies,CLIENT_X - Taiwan,HTTP Cookie,_ga_failed_lookup_marker_67_173,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
youtube.com,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_67_176,,180,,https://www.CLIENT_X.com.tw/c-m-ho/air-purifier-and-air-humidifier,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
linkedin.com,Targeted Advertising cookies (including social media),LinkedIn,HTTP Cookie,_ga_failed_lookup_marker_67_189,,365,FALSE,https://www.CLIENT_X.com.tw/c-e/ho/homeid-app.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
cdn.speedcurve.com,Performance cookies,Speedcurve,JavaScript,_ga_failed_lookup_marker_67_198,,,,https://www.CLIENT_X.com.tw/,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
