tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
www.CLIENT_X.com.uy,Essential cookies,CLIENT_X - Uruguay,JavaScript,_ga_failed_lookup_marker_68_1,,,,https://www.CLIENT_X.com.uy/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
stats.g.doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_68_9,,,,https://www.CLIENT_X.com.uy/,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
www.usa.CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,HTTP Cookie,_ga_failed_lookup_marker_68_10,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
linkedin.com,Targeted Advertising cookies (including social media),LinkedIn,HTTP Cookie,_ga_failed_lookup_marker_68_14,,180,,https://www.CLIENT_X.com.uy/c-m-ho/accesorios-de-cocina,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
sc-static.net,Targeted Advertising cookies (including social media),Snap Inc.,ETag,_ga_failed_lookup_marker_68_15,,,,https://www.CLIENT_X.com.uy/c-m-ho/aspiradoras-y-mopas,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
www.revespcardiol.org,Targeted Advertising cookies (including social media),Elsevier,HTTP Cookie,_ga_failed_lookup_marker_68_54,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.uy,Essential cookies,CLIENT_X - Uruguay,HTTP Cookie,_ga_failed_lookup_marker_68_72,,0,,https://www.CLIENT_X.com.uy/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.com.uy,Essential cookies,CLIENT_X - Uruguay,HTTP Cookie,_ga_failed_lookup_marker_68_80,,365,,https://www.CLIENT_X.com.uy/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
tag.demandbase.com,Targeted Advertising cookies (including social media),"Demandbase, Inc.",ETag,_ga_failed_lookup_marker_68_86,,,,https://www.CLIENT_X.com.uy/a-w/privacy-notice,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.com.uy,Essential cookies,CLIENT_X - Uruguay,HTTP Cookie,_ga_failed_lookup_marker_68_96,,365,,https://www.CLIENT_X.com.uy/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
company-target.com,Targeted Advertising cookies (including social media),"Demandbase, Inc.",HTTP Cookie,_ga_failed_lookup_marker_68_102,,396,,https://www.CLIENT_X.com.uy/a-w/privacy-notice,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
casalemedia.com,Targeted Advertising cookies (including social media),Index Exchange Inc.,HTTP Cookie,_ga_failed_lookup_marker_68_110,,90,,https://www.CLIENT_X.com.uy/a-w/privacy-notice,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
youtube.com,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_68_127,,180,,https://www.CLIENT_X.com.uy/c-m-au/lamparas-para-autos/headlight-bulbs/led/led-inspection,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
www.forms.healthcare.CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,HTTP Cookie,_ga_failed_lookup_marker_68_138,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.com.uy,Essential cookies,CLIENT_X - Uruguay,HTTP Cookie,_ga_failed_lookup_marker_68_151,,365,,https://www.CLIENT_X.com.uy/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.uy,Essential cookies,CLIENT_X - Uruguay,HTTP Cookie,_ga_failed_lookup_marker_68_159,,session,,https://www.CLIENT_X.com.uy/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
connect.facebook.net,Targeted Advertising cookies (including social media),Meta (formerly Facebook),JavaScript,_ga_failed_lookup_marker_68_160,,,,https://www.CLIENT_X.com.uy/,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
*.t.eloqua.com,Performance cookies,Oracle Marketing,JavaScript,_ga_failed_lookup_marker_68_178,,,,https://www.CLIENT_X.com.uy/content/B2B_HC/es_AR/homepage.html,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com.uy,Essential cookies,CLIENT_X - Uruguay,HTTP Cookie,_ga_failed_lookup_marker_68_180,,400,,https://www.CLIENT_X.com.uy/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
googleads.g.doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_68_197,,,,https://www.CLIENT_X.com.uy/,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
