tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,HTTP Cookie,_ga_failed_lookup_marker_72_2,,0,TRUE,https://www.CLIENT_X.com/kz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
consent.trustarc.com,Essential cookies,TrustArc,JavaScript,_ga_failed_lookup_marker_72_13,,,TRUE,https://www.CLIENT_X.com/kz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,HTTP Cookie,_ga_failed_lookup_marker_72_18,,session,TRUE,https://www.CLIENT_X.com/kz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,HTTP Cookie,_ga_failed_lookup_marker_72_21,,session,TRUE,https://www.CLIENT_X.com/kz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
region1.analytics.google.com,Performance cookies,Google Inc.,Beacon,_ga_failed_lookup_marker_72_41,,,TRUE,https://www.CLIENT_X.com/kz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_72_49,,30,TRUE,https://www.CLIENT_X.com/kz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
nebula-cdn.kampyle.com,Performance cookies,Medallia,ETag,_ga_failed_lookup_marker_72_55,,,TRUE,https://www.CLIENT_X.com/kz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
cdn.speedcurve.com,Performance cookies,Speedcurve,JavaScript,_ga_failed_lookup_marker_72_66,,,TRUE,https://www.CLIENT_X.com/kz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
region1.analytics.google.com,Performance cookies,Google Inc.,Beacon,_ga_failed_lookup_marker_72_71,,,TRUE,https://www.CLIENT_X.com/kz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.112.2o7.net,Performance cookies,"Adobe Audience Manager, Adobe Experience Cloud",Beacon,_ga_failed_lookup_marker_72_102,,,TRUE,https://www.CLIENT_X.com/kz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,HTTP Cookie,_ga_failed_lookup_marker_72_119,,400,TRUE,https://www.CLIENT_X.com/kz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
adservice.google.com,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_72_123,,,TRUE,https://www.CLIENT_X.com/kz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,HTTP Cookie,_ga_failed_lookup_marker_72_127,,0,TRUE,https://www.CLIENT_X.com/kz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_72_140,,390,,https://www.CLIENT_X.com/kz/,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_72_143,,390,,https://www.CLIENT_X.com/kz/,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
www.google.ie,Performance cookies,Google Inc.,Beacon,_ga_failed_lookup_marker_72_147,,,TRUE,https://www.CLIENT_X.com/kz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
nebula-cdn.kampyle.com,Performance cookies,Medallia,JavaScript,_ga_failed_lookup_marker_72_160,,,TRUE,https://www.CLIENT_X.com/kz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,HTTP Cookie,_ga_failed_lookup_marker_72_167,,0,TRUE,https://www.CLIENT_X.com/kz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,HTTP Cookie,_ga_failed_lookup_marker_72_173,,400,,https://www.CLIENT_X.com/kz/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,HTTP Cookie,_ga_failed_lookup_marker_72_177,,7,,https://www.CLIENT_X.com/kz/,New First Party Trackers,,,,,,tracker_name_pattern_not_applied
