tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
*.fls.doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_73_1,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.ma,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_73_2,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
snap.licdn.com,Performance cookies,LinkedIn,JavaScript,_ga_failed_lookup_marker_73_8,,,TRUE,https://www.CLIENT_X.ma/c-e/ho/kitchen-appliances.html,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.ma,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_73_10,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.com,Performance cookies,Signify (formerly CLIENT_X Lighting),ETag,_ga_failed_lookup_marker_73_23,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ma,Essential cookies,CLIENT_X - Morocco,HTTP Cookie,_ga_failed_lookup_marker_73_32,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.ma,Essential cookies,CLIENT_X - Morocco,HTTP Cookie,_ga_failed_lookup_marker_73_36,,400,TRUE,https://www.CLIENT_X.ma/c-m-ac/mens-shaving-grooming-accessories,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ma,Targeted Advertising cookies (including social media),CLIENT_X - Morocco,HTTP Cookie,_ga_failed_lookup_marker_73_38,,7,TRUE,https://www.CLIENT_X.ma/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ma,Essential cookies,CLIENT_X - Morocco,HTTP Cookie,_ga_failed_lookup_marker_73_46,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.lighting.CLIENT_X.ma,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_73_47,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.ma,Performance cookies,CLIENT_X - Morocco,HTTP Cookie,_ga_failed_lookup_marker_73_88,,0,TRUE,https://www.CLIENT_X.ma/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.crsc.CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,JavaScript,_ga_failed_lookup_marker_73_126,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
consent.truste.com,Essential cookies,TrustArc,JavaScript,_ga_failed_lookup_marker_73_128,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.lightset-creator.lighting.CLIENT_X.com,Targeted Advertising cookies (including social media),Signify (formerly CLIENT_X Lighting),JavaScript,_ga_failed_lookup_marker_73_134,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
pages.information.signify.com,Performance cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,_ga_failed_lookup_marker_73_142,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
casalemedia.com,Targeted Advertising cookies (including social media),Index Exchange Inc.,HTTP Cookie,_ga_failed_lookup_marker_73_152,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
www.googleadservices.com,Targeted Advertising cookies (including social media),Google Advertising Products,ETag,_ga_failed_lookup_marker_73_164,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_73_169,,30,TRUE,https://www.CLIENT_X.ma/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_Xb2c--dev2.sandbox.my.site.com,Performance cookies,"Salesforce.com, Inc.",JavaScript,_ga_failed_lookup_marker_73_182,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
tremorhub.com,Targeted Advertising cookies (including social media),"Magnite CTV, Inc.",HTTP Cookie,_ga_failed_lookup_marker_73_193,,,,,Existing CM Trackers-Not Found,,,,,,tracker_name_pattern_not_applied
