tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code],error
CLIENT_X.112.2o7.net,Performance cookies,"Adobe Audience Manager, Adobe Experience Cloud",HTTP Cookie,_ga_failed_lookup_marker_78_3,,400,TRUE,https://www.CLIENT_X.uz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.uz,Essential cookies,CLIENT_X - Uzbekistan,HTTP Cookie,_ga_failed_lookup_marker_78_13,,0,TRUE,https://www.CLIENT_X.uz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_78_26,,0,TRUE,https://www.CLIENT_X.uz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.uz,Performance cookies,CLIENT_X - Uzbekistan,HTTP Cookie,_ga_failed_lookup_marker_78_43,,,,https://www.CLIENT_X.uz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.google.com,Performance cookies,Google Inc.,Beacon,_ga_failed_lookup_marker_78_45,,,TRUE,https://www.CLIENT_X.uz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.112.2o7.net,Performance cookies,"Adobe Audience Manager, Adobe Experience Cloud",HTTP Cookie,_ga_failed_lookup_marker_78_46,,400,TRUE,https://www.CLIENT_X.uz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_78_54,,390,,https://www.CLIENT_X.uz/,New Third Party Trackers,,,,,,tracker_name_pattern_not_applied
CLIENT_X.112.2o7.net,Performance cookies,"Adobe Audience Manager, Adobe Experience Cloud",HTTP Cookie,_ga_failed_lookup_marker_78_57,,400,TRUE,https://www.CLIENT_X.uz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.uz,Essential cookies,CLIENT_X - Uzbekistan,HTTP Cookie,_ga_failed_lookup_marker_78_58,,365,TRUE,https://www.CLIENT_X.uz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.uz,Essential cookies,CLIENT_X - Uzbekistan,HTTP Cookie,_ga_failed_lookup_marker_78_63,,7,TRUE,https://www.CLIENT_X.uz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.uz,Essential cookies,CLIENT_X - Uzbekistan,HTTP Cookie,_ga_failed_lookup_marker_78_70,,session,TRUE,https://www.CLIENT_X.uz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
cdn.speedcurve.com,Performance cookies,Speedcurve,JavaScript,_ga_failed_lookup_marker_78_91,,,TRUE,https://www.CLIENT_X.uz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
www.CLIENT_X.uz,Essential cookies,CLIENT_X - Uzbekistan,HTTP Cookie,_ga_failed_lookup_marker_78_100,,365,TRUE,https://www.CLIENT_X.uz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
region1.analytics.google.com,Performance cookies,Google Inc.,Beacon,_ga_failed_lookup_marker_78_140,,,TRUE,https://www.CLIENT_X.uz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.uz,Essential cookies,CLIENT_X - Uzbekistan,HTTP Cookie,_ga_failed_lookup_marker_78_152,,0,TRUE,https://www.CLIENT_X.uz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,_ga_failed_lookup_marker_78_167,,30,TRUE,https://www.CLIENT_X.uz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
stats.g.doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,_ga_failed_lookup_marker_78_168,,,TRUE,https://www.CLIENT_X.uz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
consent.trustarc.com,Essential cookies,TrustArc,Beacon,_ga_failed_lookup_marker_78_179,,,TRUE,https://www.CLIENT_X.uz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
CLIENT_X.uz,Essential cookies,CLIENT_X - Uzbekistan,HTTP Cookie,_ga_failed_lookup_marker_78_180,,0,TRUE,https://www.CLIENT_X.uz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
consent-pref.trustarc.com,Essential cookies,TrustArc,Local Storage,_ga_failed_lookup_marker_78_187,,,TRUE,https://www.CLIENT_X.uz/,Existing CM Trackers-Found,,,,,,tracker_name_pattern_not_applied
