tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code]
www.CLIENT_X.hr,Essential cookies,CLIENT_X - Croatia,HTTP Cookie,bench_new_T7_162206,,session,TRUE,https://www.CLIENT_X.hr/,Existing CM Trackers-Found,,,,,
consent-pref.trustarc.com,Essential cookies,TrustArc,JavaScript,bench_new_T7_162165,,,,,Existing CM Trackers-Not Found,,,,,
casalemedia.com,Targeted Advertising cookies (including social media),Index Exchange Inc.,HTTP Cookie,bench_new_T7_162121,,90,TRUE,https://www.CLIENT_X.hr/a-w/pravila-o-kolacicima,Existing CM Trackers-Found,,,,,
sc-static.net,Targeted Advertising cookies (including social media),Snap Inc.,ETag,bench_new_T7_162179,,,TRUE,https://www.CLIENT_X.hr/c-e/ho/kuhanje/ekspres-lonac-3000,Existing CM Trackers-Found,,,,,
www.google.com,Essential cookies,Google Inc.,HTTP Cookie,bench_new_T7_162232,,180,TRUE,https://www.CLIENT_X.hr/c-e/new-CLIENT_X-member.html,Existing CM Trackers-Found,,,,,
CLIENT_X.hr,Essential cookies,CLIENT_X - Croatia,Local Storage,bench_new_T7_162088,,,TRUE,https://www.CLIENT_X.hr/c-w/support-home/support-contact-page.html,Existing CM Trackers-Found,,,,,
raw.githubusercontent.com,Performance cookies,GitHub Inc.,ETag,bench_new_T7_162239,,,TRUE,https://www.CLIENT_X.hr/healthcare/about/distributors,Existing CM Trackers-Found,,,,,
CLIENT_X.hr,Essential cookies,CLIENT_X - Croatia,HTTP Cookie,bench_new_T7_162203,,400,,https://www.CLIENT_X.hr/,New First Party Trackers,,,,,
region1.google-analytics.com,Performance cookies,Google Inc.,HTTP Cookie,bench_new_T7_162181,,,,,Existing CM Trackers-Not Found,,,,,
www.CLIENT_X.hr,Essential cookies,CLIENT_X - Croatia,HTTP Cookie,bench_new_T7_162234,,0,TRUE,https://www.CLIENT_X.hr/,Existing CM Trackers-Found,,,,,
CLIENT_X.hr,Essential cookies,CLIENT_X - Croatia,HTTP Cookie,bench_new_T7_162212,,400,TRUE,https://www.CLIENT_X.hr/,Existing CM Trackers-Found,,,,,
CLIENT_X.112.2o7.net,Performance cookies,"Adobe Audience Manager, Adobe Experience Cloud",HTTP Cookie,bench_new_T7_162169,,400,,https://www.CLIENT_X.hr/,New Third Party Trackers,,,,,
CLIENT_X.ru,Essential cookies (exempt from consent),CLIENT_X - Russia,HTTP Cookie,s_eVar44,,,,,Existing CM Trackers-Not Found,,,,,
www.CLIENT_X.it,Essential cookies (exempt from consent),CLIENT_X - Italy,HTTP Cookie,AWSELB,,0,TRUE,https://www.CLIENT_X.hr/,Existing CM Trackers-Found,,,,,
www.lighting.CLIENT_X.com,Performance cookies,Signify (formerly CLIENT_X Lighting),JavaScript,bench_new_T7_162133,,,,,Existing CM Trackers-Not Found,,,,,
widget-cdn.janraincapture.com,Performance cookies,Akamai,ETag,bench_new_T7_162129,,,,,Existing CM Trackers-Not Found,,,,,
casalemedia.com,Targeted Advertising cookies (including social media),Index Exchange Inc.,HTTP Cookie,bench_new_T7_162145,,90,TRUE,https://www.CLIENT_X.hr/a-w/pravila-o-kolacicima,Existing CM Trackers-Found,,,,,
CLIENT_X.112.2o7.net,Performance cookies,"Adobe Audience Manager, Adobe Experience Cloud",HTTP Cookie,bench_new_T7_162120,,400,,https://www.CLIENT_X.hr/,New Third Party Trackers,,,,,
linkedin.com,Targeted Advertising cookies (including social media),LinkedIn,HTTP Cookie,bench_new_T7_162196,,180,TRUE,https://www.CLIENT_X.hr/c-e/ho/air-education.html,Existing CM Trackers-Found,,,,,
CLIENT_X.jo,Essential cookies (exempt from consent),CLIENT_X - Jordan,HTTP Cookie,da_sid,,bench_update_duration,,https://www.CLIENT_X.hr/,New First Party Trackers,,,,,
www.CLIENT_X.hr,Essential cookies,CLIENT_X - Croatia,HTTP Cookie,bench_new_T7_162083,,10,TRUE,https://www.CLIENT_X.hr/,Existing CM Trackers-Found,,,,,
consent-pref.trustarc.com,Essential cookies,TrustArc,Local Storage,bench_new_T7_162164,,,,,Existing CM Trackers-Not Found,,,,,
www.lighting.CLIENT_X.com,Performance cookies,Signify (formerly CLIENT_X Lighting),ETag,bench_new_T7_162134,,,,,Existing CM Trackers-Not Found,,,,,
consent.trustarc.com,Essential cookies,TrustArc,Beacon,bench_new_T7_162154,,,TRUE,https://www.CLIENT_X.hr/,Existing CM Trackers-Found,,,,,
CLIENT_Xb2c.my.site.com,Performance cookies,"Salesforce.com, Inc.",JavaScript,bench_new_T7_162080,,,TRUE,https://www.CLIENT_X.hr/c-w/support-home/support-contact-page.html,Existing CM Trackers-Found,,,,,
c.amazon-adsystem.com,Targeted Advertising cookies (including social media),Amazon Advertising,JavaScript,bench_new_T7_162178,,,,,Existing CM Trackers-Not Found,,,,,
CLIENT_X.com.hk,Essential cookies (exempt from consent),CLIENT_X - Hong Kong,HTTP Cookie,s_ugv,,bench_update_duration,,,Existing CM Trackers-Not Found,,,,,
connect.facebook.net,Targeted Advertising cookies (including social media),Meta (formerly Facebook),Beacon,bench_new_T7_162170,,,TRUE,https://www.CLIENT_X.hr/c-e/so/vodic-za-kupnju-televizora/kako-pronaci-savrsen-tv-za-vas.html,Existing CM Trackers-Found,,,,,
CLIENT_X.hr,Essential cookies,CLIENT_X - Croatia,HTTP Cookie,bench_new_T7_162180,,393,TRUE,https://www.CLIENT_X.hr/,Existing CM Trackers-Found,,,,,
CLIENT_X.jo,Essential cookies (exempt from consent),CLIENT_X - Jordan,HTTP Cookie,s_pv,,bench_update_duration,,,Existing CM Trackers-Not Found,,,,,
CLIENT_X.hr,Essential cookies,CLIENT_X - Croatia,HTTP Cookie,bench_new_T7_162084,,session,TRUE,https://www.CLIENT_X.hr/,Existing CM Trackers-Found,,,,,
lighting.CLIENT_X.hr,Performance cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,bench_new_T7_162163,,,,,Existing CM Trackers-Not Found,,,,,
CLIENT_Xb2c.my.site.com,Performance cookies,"Salesforce.com, Inc.",Local Storage,bench_new_T7_162235,,,TRUE,https://www.CLIENT_X.hr/c-w/support-home/support-contact-page.html,Existing CM Trackers-Found,,,,,
assets.adobedtm.com,Performance cookies,Adobe Inc.,JavaScript,bench_new_T7_162191,,,,,Existing CM Trackers-Not Found,,,,,
CLIENT_X.hr,Essential cookies,CLIENT_X - Croatia,HTTP Cookie,bench_new_T7_162238,,400,,https://www.CLIENT_X.hr/,New First Party Trackers,,,,,
CLIENT_X.hr,Essential cookies,CLIENT_X - Croatia,HTTP Cookie,bench_new_T7_162125,,session,TRUE,https://www.CLIENT_X.hr/,Existing CM Trackers-Found,,,,,
nebula-cdn.kampyle.com,Performance cookies,Medallia,ETag,bench_new_T7_162114,,,TRUE,https://www.CLIENT_X.hr/,Existing CM Trackers-Found,,,,,
tremorhub.com,Targeted Advertising cookies (including social media),"Magnite CTV, Inc.",HTTP Cookie,bench_new_T7_162230,,400,TRUE,https://www.CLIENT_X.hr/a-w/pravila-o-kolacicima,Existing CM Trackers-Found,,,,,
demdex.net,Targeted Advertising cookies (including social media),"Adobe Audience Manager, Adobe Experience Platform",HTTP Cookie,bench_new_T7_162237,,,,,Existing CM Trackers-Not Found,,,,,
www.lighting.CLIENT_X.co.id,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),HTTP Cookie,s_int,,1,TRUE,https://www.CLIENT_X.hr/c-e/ho/air-education.html,Existing CM Trackers-Found,,,,,
www.googletagmanager.com,Performance cookies,Google Inc.,JavaScript,bench_new_T7_162166,,,TRUE,https://www.CLIENT_X.hr/,Existing CM Trackers-Found,,,,,
snap.licdn.com,Performance cookies,LinkedIn,JavaScript,bench_new_T7_162101,,,TRUE,https://www.CLIENT_X.hr/c-e/ho/air-education.html,Existing CM Trackers-Found,,,,,
static.cloud.coveo.com,Targeted Advertising cookies (including social media),Coveo Solutions Inc.,JavaScript,bench_new_T7_162182,,,TRUE,https://www.CLIENT_X.hr/healthcare/about/support/resource-center/results,Existing CM Trackers-Found,,,,,
demdex.net,Targeted Advertising cookies (including social media),"Adobe Audience Manager, Adobe Experience Platform",HTTP Cookie,bench_new_T7_162190,,,,,Existing CM Trackers-Not Found,,,,,
linkedin.com,Targeted Advertising cookies (including social media),LinkedIn,HTTP Cookie,bench_new_T7_162126,,1,TRUE,https://www.CLIENT_X.hr/c-e/ho/air-education.html,Existing CM Trackers-Found,,,,,
nebula-cdn.kampyle.com,Performance cookies,Medallia,JavaScript,bench_new_T7_162171,,,TRUE,https://www.CLIENT_X.hr/,Existing CM Trackers-Found,,,,,
CLIENT_X.jo,Essential cookies (exempt from consent),CLIENT_X - Jordan,HTTP Cookie,mboxEdgeCluster,,bench_update_duration,TRUE,https://www.CLIENT_X.hr/,Existing CM Trackers-Found,,,,,
www.lighting.CLIENT_X.hr,Essential cookies,Signify (formerly CLIENT_X Lighting),ETag,bench_new_T7_162095,,,,,Existing CM Trackers-Not Found,,,,,
www.CLIENT_X.com.tw,Essential cookies (exempt from consent),CLIENT_X - Taiwan,HTTP Cookie,T01-recentlyViewedProducts,,bench_update_duration,,,Existing CM Trackers-Not Found,,,,,
www.CLIENT_X.hr,Essential cookies,CLIENT_X - Croatia,HTTP Cookie,bench_new_T7_162208,,400,TRUE,https://www.CLIENT_X.hr/,Existing CM Trackers-Found,,,,,
CLIENT_X.co.ke,Essential cookies (exempt from consent),CLIENT_X - Kenya,HTTP Cookie,s_cm,,396,TRUE,https://www.CLIENT_X.hr/a-w/pravila-o-kolacicima,Existing CM Trackers-Found,,,,,
tracker-detail-page.trustarc.com,Essential cookies,TrustArc,ETag,bench_new_T7_162174,,,,https://www.CLIENT_X.hr/a-w/pravila-o-kolacicima,New Third Party Trackers,,,,,
