tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code]
lighting.CLIENT_X.ma,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),HTTP Cookie,s_ppvl,,bench_update_duration,,https://www.CLIENT_X.ie/c-m-hs/respiratory-care,New First Party Trackers,,,,,
company-target.com,Targeted Advertising cookies (including social media),"Demandbase, Inc.",HTTP Cookie,bench_new_T7_162437,,396,,https://www.CLIENT_X.ie/a-w/about,New Third Party Trackers,,,,,
snapchat.com,Targeted Advertising cookies (including social media),Snap Inc.,HTTP Cookie,bench_new_T7_162539,,,,,Existing CM Trackers-Not Found,,,,,
maps.googleapis.com,Performance cookies,Google Inc.,JavaScript,bench_new_T7_162428,,,,,Existing CM Trackers-Not Found,,,,,
www.CLIENT_X.ie,Essential cookies,CLIENT_X - Ireland,HTTP Cookie,bench_new_T7_162472,,session,TRUE,https://www.CLIENT_X.ie/c-m-hs/respiratory-care,Existing CM Trackers-Found,,,,,
CLIENT_X.com,Essential cookies,Koninklijke CLIENT_X N.V.,HTTP Cookie,bench_new_T7_162435,,,,,Existing CM Trackers-Not Found,,,,,
CLIENT_X.ie,Targeted Advertising cookies (including social media),CLIENT_X - Ireland,HTTP Cookie,bench_new_T7_162403,,,,,Existing CM Trackers-Not Found,,,,,
CLIENT_X.ie,Performance cookies,CLIENT_X - Ireland,HTTP Cookie,bench_new_T7_162468,,,,,Existing CM Trackers-Not Found,,,,,
www.CLIENT_X.sa,Essential cookies (exempt from consent),CLIENT_X - Kingdom of Saudi Arabia,HTTP Cookie,T01-recentlyViewedProducts,,bench_update_duration,,,Existing CM Trackers-Not Found,,,,,
*.org.coveo.com,Performance cookies,Coveo Solutions Inc.,Beacon,bench_new_T7_162541,,,,https://www.CLIENT_X.ie/c-m-au/car-lights/headlights/latest,New Third Party Trackers,,,,,
*.akstat.io,Performance cookies,Akamai,Beacon,bench_new_T7_162419,,,,https://www.CLIENT_X.ie/c-p/PET706_00/-/support,New Third Party Trackers,,,,,
casalemedia.com,Targeted Advertising cookies (including social media),Index Exchange Inc.,HTTP Cookie,bench_new_T7_162408,,90,,https://www.CLIENT_X.ie/a-w/about,New Third Party Trackers,,,,,
i.l-dsp.inmobicdn.net,Performance Cookies [Requires consent],InMobi Pte Ltd,JavaScript,,,,,,Existing CM Trackers-Not Found,,,,,
CLIENT_X.ie,Performance cookies,CLIENT_X - Ireland,HTTP Cookie,bench_new_T7_162441,,session,TRUE,https://www.CLIENT_X.ie/,Existing CM Trackers-Found,,,,,
www.CLIENT_X.ie,Performance cookies,CLIENT_X - Ireland,HTTP Cookie,bench_new_T7_162483,,session,TRUE,https://www.CLIENT_X.ie/c-m-hs/respiratory-care,Existing CM Trackers-Found,,,,,
doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,bench_new_T7_162480,,30,TRUE,https://www.CLIENT_X.ie/a-w/about,Existing CM Trackers-Found,,,,,
comment.niceteknoloji.com,Performance Cookies [Requires consent],Nice Technology,ETag,,,,,,Existing CM Trackers-Not Found,,,,,
www.CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,Local Storage,blank (local storage),,0,,,Existing CM Trackers-Not Found,,,,,
www.CLIENT_X.ie,Essential cookies,CLIENT_X - Ireland,HTTP Cookie,bench_new_T7_162449,,7,,https://www.CLIENT_X.ie/c-m-hs/respiratory-care,New First Party Trackers,,,,,
cdn.jsdelivr.net,Performance cookies,Volentio JSD Limited,ETag,bench_new_T7_162439,,,,,Existing CM Trackers-Not Found,,,,,
nebula-cdn.kampyle.com,Performance cookies,Medallia,JavaScript,bench_new_T7_162422,,,TRUE,http://www.CLIENT_X.ie/,Existing CM Trackers-Found,,,,,
CLIENT_X.com.br,Essential cookies (exempt from consent),CLIENT_X - Brazil,HTTP Cookie,s_cc,,bench_update_duration,,,Existing CM Trackers-Not Found,,,,,
code.jquery.com,Performance cookies,jQuery,JavaScript,bench_new_T7_162502,,,,,Existing CM Trackers-Not Found,,,,,
nebula-cdn.kampyle.com,Performance cookies,Medallia,ETag,bench_new_T7_162516,,,TRUE,http://www.CLIENT_X.ie/,Existing CM Trackers-Found,,,,,
google.com,Performance cookies,Google Inc.,Local Storage,bench_new_T7_162529,,,TRUE,https://www.CLIENT_X.ie/c-e/member.html,Existing CM Trackers-Found,,,,,
www.lighting.CLIENT_X.ie,Essential cookies,Signify (formerly CLIENT_X Lighting),HTTP Cookie,bench_new_T7_162559,,,,,Existing CM Trackers-Not Found,,,,,
eu-images.contentstack.com,Performance cookies,Contentstack,ETag,bench_new_T7_162491,,,,https://www.CLIENT_X.ie/c-m-pe/face-shavers,New Third Party Trackers,,,,,
www.CLIENT_X.ie,Essential cookies,CLIENT_X - Ireland,HTTP Cookie,bench_new_T7_162451,,400,TRUE,https://www.CLIENT_X.ie/c-m-hs/respiratory-care,Existing CM Trackers-Found,,,,,
www.lighting.CLIENT_X.ie,Essential cookies,Signify (formerly CLIENT_X Lighting),ETag,bench_new_T7_162407,,,,,Existing CM Trackers-Not Found,,,,,
CLIENT_X.112.2o7.net,Performance cookies,"Adobe Audience Manager, Adobe Experience Cloud",Beacon,bench_new_T7_162504,,,TRUE,https://www.CLIENT_X.ie/a-w/about,Existing CM Trackers-Found,,,,,
consent.trustarc.com,Essential cookies,TrustArc,Beacon,bench_new_T7_162531,,,TRUE,http://www.CLIENT_X.ie/,Existing CM Trackers-Found,,,,,
connect.facebook.net,Targeted Advertising cookies (including social media),Meta (formerly Facebook),JavaScript,bench_new_T7_162400,,,TRUE,http://www.CLIENT_X.ie/,Existing CM Trackers-Found,,,,,
casalemedia.com,Targeted Advertising cookies (including social media),Index Exchange Inc.,HTTP Cookie,bench_new_T7_162538,,90,,https://www.CLIENT_X.ie/a-w/about,New Third Party Trackers,,,,,
CLIENT_Xtest.scene7.com,Performance cookies,Adobe Experience Cloud - Experience Manager,ETag,bench_new_T7_162421,,,TRUE,https://www.CLIENT_X.ie/c-u/at_book_618014/User%20Manual_%20CLIENT_X%20OneBlade,Existing CM Trackers-Found,,,,,
