tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code]
www.CLIENT_X.ae,Essential cookies,CLIENT_X - Middle East Arab,HTTP Cookie,bench_new_T7_165002,,365,,https://www.CLIENT_X.ae/ar/c-m-ho/cooking/toaster/latest,New First Party Trackers,,,,,
CLIENT_X.ae,Essential cookies,CLIENT_X - Middle East Arab,HTTP Cookie,bench_new_T7_165006,,0,FALSE,https://www.CLIENT_X.ae/ar,Existing CM Trackers-Found,,,,,
CLIENT_X.ae,Essential cookies,CLIENT_X - Middle East Arab,HTTP Cookie,bench_new_T7_165112,,session,FALSE,https://www.CLIENT_X.ae/ar,Existing CM Trackers-Found,,,,,
www.CLIENT_X.ae,Essential cookies,CLIENT_X - Middle East Arab,HTTP Cookie,bench_new_T7_165046,,30,FALSE,https://www.CLIENT_X.ae/ar/c-m-ho/cooking/toaster/latest,Existing CM Trackers-Found,,,,,
ad.doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,bench_new_T7_164965,,,FALSE,https://www.CLIENT_X.ae/ar,Existing CM Trackers-Found,,,,,
CLIENT_Xtest.scene7.com,Performance cookies,Adobe Experience Cloud - Experience Manager,ETag,bench_new_T7_165070,,,,https://www.CLIENT_X.ae/ar/c-u/at_book_709587/Mainbook,New Third Party Trackers,,,,,
www.CLIENT_X.it,Essential cookies (exempt from consent),CLIENT_X - Italy,HTTP Cookie,ws-active-shop,,,FALSE,https://www.CLIENT_X.ae/ar,Existing CM Trackers-Found,,,,,
force.com,Performance cookies,"Salesforce.com, Inc.",HTTP Cookie,bench_new_T7_165058,,365,,https://www.CLIENT_X.ae/c-f/XC000019471/CLIENT_X-one-battery-replacement-instructions,New Third Party Trackers,,,,,
sc-static.net,Targeted Advertising cookies (including social media),Snap Inc.,HTTP Cookie,bench_new_T7_165045,,1,FALSE,https://www.CLIENT_X.ae/ar/c-e/ho/air-purifier-and-air-humidifier/air-performer-series-8000.html,Existing CM Trackers-Found,,,,,
tr.snapchat.com,Targeted Advertising cookies (including social media),Snap Inc.,JavaScript,bench_new_T7_165102,,,FALSE,https://www.CLIENT_X.ae/c-e/ho/cooking/kitchen-machine-series-7000.html,Existing CM Trackers-Found,,,,,
company-target.com,Targeted Advertising cookies (including social media),"Demandbase, Inc.",HTTP Cookie,bench_new_T7_165095,,396,FALSE,https://www.CLIENT_X.ae/ar/a-w/about,Existing CM Trackers-Found,,,,,
www.CLIENT_X.ae,Essential cookies,CLIENT_X - Middle East Arab,HTTP Cookie,bench_new_T7_164982,,session,FALSE,https://www.CLIENT_X.ae/ar/c-m-ho/cooking/toaster/latest,Existing CM Trackers-Found,,,,,
CLIENT_Xb2c.my.site.com,Performance cookies,"Salesforce.com, Inc.",ETag,bench_new_T7_165103,,,FALSE,https://www.CLIENT_X.ae/c-w/support-home/support-contact-page.html,Existing CM Trackers-Found,,,,,
tremorhub.com,Targeted Advertising cookies (including social media),"Magnite CTV, Inc.",HTTP Cookie,bench_new_T7_165020,,365,FALSE,https://www.CLIENT_X.ae/ar/a-w/about,Existing CM Trackers-Found,,,,,
td.yieldify.com,Targeted Advertising cookies (including social media),Yieldify,JavaScript,bench_new_T7_165015,,,FALSE,https://www.CLIENT_X.ae/ar,Existing CM Trackers-Found,,,,,
ct.pinterest.com,Targeted Advertising cookies (including social media),Pinterest,HTTP Cookie,bench_new_T7_164964,,365,,https://www.CLIENT_X.ae/ar,New Third Party Trackers,,,,,
www.CLIENT_X.ae,Essential cookies,CLIENT_X - Middle East Arab,HTTP Cookie,bench_new_T7_165026,,365,FALSE,https://www.CLIENT_X.ae/ar/c-m-ho/cooking/toaster/latest,Existing CM Trackers-Found,,,,,
nebula-cdn.kampyle.com,Performance cookies,Medallia,ETag,bench_new_T7_164966,,,FALSE,https://www.CLIENT_X.ae/,Existing CM Trackers-Found,,,,,
www.lighting.CLIENT_X.dk,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),HTTP Cookie,remember_customer_type,,0,FALSE,https://www.CLIENT_X.ae/ar,Existing CM Trackers-Found,,,,,
CLIENT_X.com.mx,Essential cookies (exempt from consent),CLIENT_X - Mexico,HTTP Cookie,_gid,,bench_update_duration,FALSE,https://www.CLIENT_X.ae/c-f/XC000021355/how-to-first-use-my-CLIENT_X-homerun-vacuum-cleaner-robot,Existing CM Trackers-Found,,,,,
pixel.rubiconproject.com,Targeted Advertising cookies (including social media),"Magnite, Inc.",Beacon,bench_new_T7_164993,,,FALSE,https://www.CLIENT_X.ae/a-w/about,Existing CM Trackers-Found,,,,,
snapchat.com,Targeted Advertising cookies (including social media),Snap Inc.,HTTP Cookie,bench_new_T7_165096,,390,FALSE,https://www.CLIENT_X.ae/ar/c-e/ho/air-purifier-and-air-humidifier/air-performer-series-8000.html,Existing CM Trackers-Found,,,,,
