tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code]
ssl-static.janraincapture.com,Performance cookies,Akamai,JavaScript,bench_new_T7_168660,,,,,Existing CM Trackers-Not Found,,,,,
CLIENT_X.com.hk,Essential cookies,CLIENT_X - Hong Kong,HTTP Cookie,bench_new_T7_168760,,session,TRUE,https://www.CLIENT_X.com.hk/,Existing CM Trackers-Found,,,,,
CLIENT_X.co.ke,Essential cookies (exempt from consent),CLIENT_X - Kenya,HTTP Cookie,s_cm_direct,,180,,https://www.CLIENT_X.com.hk/c-m-pe/power-flosser,New Third Party Trackers,,,,,
CLIENT_X.com.hk,Essential cookies,CLIENT_X - Hong Kong,HTTP Cookie,bench_new_T7_168688,,,,,Existing CM Trackers-Not Found,,,,,
www.CLIENT_X.com.hk,Essential cookies,CLIENT_X - Hong Kong,HTTP Cookie,bench_new_T7_168798,,365,TRUE,http://www.CLIENT_X.com.hk/,Existing CM Trackers-Found,,,,,
lighting.CLIENT_X.com.hk,Essential cookies,CLIENT_X - Hong Kong,HTTP Cookie,bench_new_T7_168792,,,,,Existing CM Trackers-Not Found,,,,,
shoplineimg.com,Targeted Advertising cookies (including social media),Starling Labs Limited,ETag,bench_new_T7_168763,,,,,Existing CM Trackers-Not Found,,,,,
consent-pref.trustarc.com,Essential cookies,TrustArc,JavaScript,bench_new_T7_168768,,,TRUE,https://www.CLIENT_X.com.hk/content/corporate/en_AA/asiapac/careers/healthtech.html,Existing CM Trackers-Found,,,,,
www.CLIENT_X.com.hk,Performance cookies,CLIENT_X - Hong Kong,HTTP Cookie,bench_new_T7_168780,,,,,Existing CM Trackers-Not Found,,,,,
conversiontool.lighting.CLIENT_X.com,Targeted Advertising cookies (including social media),Koninklijke CLIENT_X N.V.,Local Storage,bench_new_T7_168699,,,,,Existing CM Trackers-Not Found,,,,,
www.ledsavingscalculator.CLIENT_X.co.uk,Performance cookies,Signify (formerly CLIENT_X Lighting),ETag,bench_new_T7_168722,,,,,Existing CM Trackers-Not Found,,,,,
cdn.shoplineapp.com,Performance cookies,SHOPLINE,JavaScript,bench_new_T7_168667,,,,,Existing CM Trackers-Not Found,,,,,
nebula-cdn.kampyle.com,Performance cookies,Medallia,ETag,bench_new_T7_168654,,,TRUE,http://www.CLIENT_X.com.hk/,Existing CM Trackers-Found,,,,,
CLIENT_Xb2c.my.site.com,Performance cookies,"Salesforce.com, Inc.",Local Storage,bench_new_T7_168694,,,TRUE,https://www.CLIENT_X.com.hk/en/c-w/support-home/support-contact-page.html,Existing CM Trackers-Found,,,,,
*.mktoweb.com,Targeted Advertising cookies (including social media),Marketo,HTTP Cookie,bench_new_T7_168696,,,,,Existing CM Trackers-Not Found,,,,,
smetrics.marketing.lighting.CLIENT_X.com.hk,Essential cookies,CLIENT_X - Hong Kong,JavaScript,bench_new_T7_168656,,,,,Existing CM Trackers-Not Found,,,,,
CLIENT_X.dk,Essential cookies (exempt from consent),CLIENT_X - Denmark,HTTP Cookie,_y2,,393,TRUE,https://www.CLIENT_X.com.hk/,Existing CM Trackers-Found,,,,,
www.lighting.CLIENT_X.com.tr,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),JavaScript,blank (java),,,,https://www.CLIENT_X.com.hk/a-w/cookie-notice,New Third Party Trackers,,,,,
CLIENT_Xtest.scene7.com,Performance cookies,Adobe Experience Cloud - Experience Manager,ETag,bench_new_T7_168658,,,,,Existing CM Trackers-Not Found,,,,,
CLIENT_X.com.hk,Essential cookies,CLIENT_X - Hong Kong,HTTP Cookie,bench_new_T7_168673,,,,,Existing CM Trackers-Not Found,,,,,
www.google.com,Targeted Advertising cookies (including social media),Google Inc.,Beacon,bench_new_T7_168781,,,TRUE,http://www.CLIENT_X.com.hk/,Existing CM Trackers-Found,,,,,
stats.g.doubleclick.net,Targeted Advertising cookies (including social media),Google Advertising Products,Beacon,bench_new_T7_168653,,,TRUE,http://www.CLIENT_X.com.hk/,Existing CM Trackers-Found,,,,,
ssl-static.janraincapture.com,Performance cookies,Akamai,JavaScript,bench_new_T7_168758,,,,,Existing CM Trackers-Not Found,,,,,
www.CLIENT_X.com.hk,Essential cookies,CLIENT_X - Hong Kong,HTTP Cookie,bench_new_T7_168757,,6,,http://www.CLIENT_X.com.hk/,New First Party Trackers,,,,,
cdnjs.cloudflare.com,Performance cookies,Cloudflare,ETag,bench_new_T7_168712,,,,,Existing CM Trackers-Not Found,,,,,
youtube.com,Targeted Advertising cookies (including social media),Google Advertising Products,HTTP Cookie,bench_new_T7_168789,,180,,https://www.CLIENT_X.com.hk/c-m-pe/power-flosser,New Third Party Trackers,,,,,
CLIENT_X.com.hk,Essential cookies,CLIENT_X - Hong Kong,HTTP Cookie,bench_new_T7_168685,,,,,Existing CM Trackers-Not Found,,,,,
px.ads.linkedin.com,Targeted Advertising cookies (including social media),LinkedIn,JavaScript,bench_new_T7_168692,,,TRUE,https://www.CLIENT_X.com.hk/c-p/EP2230_10,Existing CM Trackers-Found,,,,,
www.lighting.CLIENT_X.com.hk,Essential cookies,CLIENT_X - Hong Kong,JavaScript,bench_new_T7_168682,,,,,Existing CM Trackers-Not Found,,,,,
tag.dotz.com.br,Targeted Advertising Cookies (including social media) [Requires consent],Companhia Brasileira de Soluï¿½ï¿½es de Marketing,JavaScript,,,,,,Existing CM Trackers-Not Found,,,,,
