tracking_domain,consent_category,vendor_name,tracker_type,tracker_name,tracker_purpose,tracker_duration,3rd_party_sharing,first_found_at,party_type,vendor_description,modified,consent_category_new,tracker_purpose_[language code],vendor_description_[language code]
consent-pref.trustarc.com,Essential cookies,TrustArc,Local Storage,,,,,https://www.allpartsmedical.com/,New Third Party Trackers,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.",,,,
consent-pref.trustarc.com,Essential cookies,TrustArc,JavaScript,,,,,https://www.healthcare.shop.CLIENT_X.nl/,New Third Party Trackers,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.",,,,
consent-st.trustarc.com,Essential cookies,TrustArc,JavaScript,,,,,https://www.healthcare.shop.CLIENT_X.nl/,New Third Party Trackers,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.",,,,
consent.trustarc.com,Essential cookies,TrustArc,Beacon,,,,,https://aedshop.CLIENT_X.com/,New Third Party Trackers,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.",,,,
consent.trustarc.com,Essential cookies,TrustArc,JavaScript,,,,,https://www.shop.CLIENT_X.lv/,New Third Party Trackers,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.",,,,
acsbapp.com,Performance cookies,accessiBe,JavaScript,,,,,https://www.allpartsmedical.com/,New Third Party Trackers,"accessiBe is an Israeli technology company, working to solve the problem of web accessibility through AI.",,,,
acsbapp.com,Performance cookies,accessiBe,ETag,,,,,https://www.allpartsmedical.com/,New Third Party Trackers,"accessiBe is an Israeli technology company, working to solve the problem of web accessibility through AI.",,,,
activity-flow.vtex.com,Performance cookies,VTEX,JavaScript,,,,,https://www.tienda.CLIENT_X.com.ar/,New Third Party Trackers,VTEX provides cloud commerce platform for enterprise companies.,,,,
activity-flow.vtex.com,Performance cookies,VTEX,ETag,,,,,https://www.tienda.CLIENT_X.com.ar/,New Third Party Trackers,VTEX provides cloud commerce platform for enterprise companies.,,,,
addshoppers.s3.amazonaws.com,Performance cookies,Amazon (Web Services),JavaScript,,,,,https://www.allpartsmedical.com/,New Third Party Trackers,"Amazon Web Services provides a reliable, scalable, low-cost infrastructure platform in the cloud with hundreds of thousands of businesses in 190 countries.",,,,
addshoppers.s3.amazonaws.com,Performance cookies,Amazon (Web Services),ETag,,,,,https://www.allpartsmedical.com/,New Third Party Trackers,"Amazon Web Services provides a reliable, scalable, low-cost infrastructure platform in the cloud with hundreds of thousands of businesses in 190 countries.",,,,
