Tracking Domain,Consent Category,Vendor Name,Tracker Type,Tracker Name,Tracker Purpose,Tracker Purpose (Source),Vendor Description,Tracker Duration
lighting.CLIENT_X.com.ar,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),HTTP Cookie,com.adobe.alloy.getTld,Adobe Analytics Cookies,FR Original File,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",729
lighting.CLIENT_X.com.ar,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),HTTP Cookie,test,This cookie is set by DoubleClick (owned by Google) to determine if the website visitorï¿½s browser supports cookies.,FR Original File,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",729
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,_fbp,Used to distinguish and keep track of your unique users.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",0
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,_ga,Used to distinguish users.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",89
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,_ga_XXX,Google Analytics uses the _ga cookie to recognize your unique combination of browser and device. ,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",729
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,_gat_UA-XXX,to track and analyze user behavior on that particular webpage.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",0
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,_gcl_au,To store and track conversions.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",729
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,_gdXXX,Google Analytics uses the _ga cookie to recognize your unique combination of browser and device. ,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",session
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,_gid,Used to distinguish users.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",729
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,_hjSession_XXX,Holds current session data. Ensures subsequent requests in the session window are attributed to the same session.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",729
CLIENT_X.com.ar,Essential cookies (exempt from consent),CLIENT_X - Argentina,HTTP Cookie,_hjSessionUser_XXX,Set when a user first lands on a page.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",729
