Site,Locale,CMP,Cmp_Translation,Language_Iso_Code,Language_Name
centralamerica.CLIENT_X.com,es_PA,centralamerica.CLIENT_X.com,es_MX,es,Spanish
www.CLIENT_X.ae,en_AE,www.mea.CLIENT_X.com,en_GB,en,English
www.CLIENT_X.ae/ar,ar_AE,www.mea.CLIENT_X.com,ar_AE,ar,Arabic
www.CLIENT_X.am,hy_AM,CLIENT_X.com,hy_AM,hy,Armenian
www.CLIENT_X.at,de_AT,CLIENT_X.at,de_DE,de,German
www.CLIENT_X.az,az_AZ,CLIENT_X.com,az_AZ,az,Azerbaijani
www.CLIENT_X.be,nl_BE,CLIENT_X.be,nl_BE,nl,Dutch
www.CLIENT_X.be/fr,fr_BE,CLIENT_X.be,fr_FR,fr,French
www.CLIENT_X.bg,bg_BG,CLIENT_X.bg,bg,bg,Bulgarian
www.CLIENT_X.by,ru_BY,CLIENT_X.com,ru_RU,ru,Russian
www.CLIENT_X.ca,en_CA,www.CLIENT_X.ca,en_GB,en,English
www.CLIENT_X.ca/fr,fr_CA,www.CLIENT_X.ca,fr_CA,fr,French
www.CLIENT_X.ch,de_CH,CLIENT_X.ch,de_DE,de,German
www.CLIENT_X.ch/fr,fr_CH,CLIENT_X.ch,fr_FR,fr,French
www.CLIENT_X.cl,es_CL,www.CLIENT_X.cl,es_MX,es,Spanish
www.CLIENT_X.co.id,en_ID,www.CLIENT_X.co.id,en_GB,en,English
www.CLIENT_X.co.id/id,id_ID,www.CLIENT_X.co.id,id,id,Indonesian
www.CLIENT_X.co.il,he_IL,www.CLIENT_X.co.il,he,he,Hebrew
www.CLIENT_X.co.in,en_IN,www.CLIENT_X.co.in,en_GB,en,English
www.CLIENT_X.co.jp,ja_JP,www.CLIENT_X.co.jp,ja,ja,Japanese
www.CLIENT_X.co.ke,en_KE,www.CLIENT_X.co.ke,en_GB,en,English
www.CLIENT_X.co.kr,ko_KR,www.CLIENT_X.co.kr,ko,ko,Korean
www.CLIENT_X.co.nz,en_NZ,www.CLIENT_X.co.nz,en_GB,en,English
www.CLIENT_X.co.th,th_TH,www.CLIENT_X.co.th,th,th,Thai
www.CLIENT_X.co.uk,en_GB,CLIENT_X.co.uk,en_GB,en,English
www.CLIENT_X.co.za,en_ZA,www.CLIENT_X.co.za,en_GB,en,English
www.CLIENT_X.com,en_GLOBAL,CLIENT_X.com,en_GB,en,English
www.CLIENT_X.com.ar,es_AR,www.CLIENT_X.com.ar,es_MX,es,Spanish
www.CLIENT_X.com.au,en_AU,CLIENT_X.au,en_GB,en,English
www.CLIENT_X.com.bh,en_BH,CLIENT_X.com,en_GB,en,English
